job_idx,cv_col,score_a,score_b,judge_score,reasoning,delta_a,delta_b,closer_system
2,cv_2,80,45,42,"The candidate has strong DevOps and backend Python experience and mobile development with Flutter, but lacks the required front‑end web stack (HTML/CSS, Java, PHP, Angular, Spring, Symfony) and database expertise (MySQL, MongoDB) emphasized in the job description. This results in a partial but insufficient match.",38.0,3.0,B
2,cv_3,82,38,40,"The candidate has solid Python backend experience with Django and FastAPI, matching the Python requirement, but lacks front‑end skills (HTML, CSS, Angular) and mobile development experience. Additionally, there is no evidence of Java, Spring, Symfony, MySQL/MongoDB, or full‑stack project work, which are key for the role.",42.0,2.0,B
2,cv_4,20,27,12,"The candidate's background is focused on AI/ML research and Python-based FastAPI, with no evidence of experience in front‑end technologies (HTML, CSS, Angular) or back‑end stacks (PHP, Java, Spring, Symfony) and databases required for the full‑stack role. Therefore the fit is very low.",8.0,15.0,A
2,cv_5,40,24,25,"The candidate's background is heavily focused on machine learning, deep learning research, and DevOps, with limited evidence of full‑stack web or mobile development. While there is some exposure to Python and NestJS, key required technologies such as HTML/CSS, PHP, Java, Spring, Symfony, Angular, MySQL, and MongoDB are absent, resulting in a low fit.",15.0,1.0,B
3,cv_1,92,41,65,"The candidate has extensive software engineering and AI/GenAI experience, strong architecture and cloud-native skills, but the CV lacks explicit mention of FastAPI, TensorFlow/PyTorch, and NLP pipeline work required by the job. This results in a solid but not perfect fit.",27.0,24.0,B
3,cv_2,70,30,65,"The candidate has strong AI/MLops and backend experience at Microsoft, built data pipelines and automation, and holds AI fundamentals certifications, aligning with the AI system design and scalability requirements. However, the CV does not explicitly list FastAPI, TensorFlow, PyTorch, or NLP experience, which are key technical skills in the job description.",5.0,35.0,A
3,cv_3,40,20,20,"The candidate's experience is centered on full‑stack web development with technologies like React, Next.js, and Spring Boot, and lacks any demonstrated work with AI, machine learning, FastAPI, TensorFlow, or PyTorch. While the master's degree mentions intelligent systems, there is no concrete evidence of AI model development or NLP experience, resulting in a poor fit for the AI Engineer role.",20.0,0.0,B
3,cv_4,40,30,15,"The candidate's experience is focused on full‑stack web development with React, Symfony, Flutter and NestJS, without any mention of AI, machine learning, NLP, or the required frameworks (FastAPI, TensorFlow, PyTorch). Consequently, the profile does not meet the core technical requirements of the AI Engineer role.",25.0,15.0,B
3,cv_5,20,23,12,"The candidate's background is focused on full‑stack web development (React, D3, Elasticsearch) with no evidence of experience in AI, machine learning, FastAPI, TensorFlow or PyTorch, which are core requirements for the AI Engineer role. Consequently, the fit is very weak.",8.0,11.0,A
4,cv_1,92,47,70,"The candidate has strong Cloud, DevOps, CI/CD, and Azure DevOps experience, matching core requirements, but lacks explicit Azure migration, .Net, and deep Microsoft ecosystem experience, which lowers the fit.",22.0,23.0,A
4,cv_2,40,30,25,"The candidate's experience is centered on full‑stack Java/Angular development and lacks any mention of Azure, cloud migration, DevOps, CI/CD, or .Net technologies required by the role. Consequently, the fit is weak, though some relevant software development background exists.",15.0,5.0,B
4,cv_3,20,23,12,"The candidate's background is centered on data analysis, statistics, and business intelligence with no evident experience in Azure, cloud migration, DevOps, CI/CD pipelines, or .Net development. Consequently, the profile lacks the core technical skills required for the Cloud & DevOps Engineer role.",8.0,11.0,A
4,cv_4,30,28,20,"The candidate's experience is focused on full‑stack web development with the MERN stack and lacks any mention of Azure, cloud migration, DevSecOps, CI/CD pipelines, or Microsoft/.Net technologies required for the role. Consequently, the profile only partially aligns with the job's core cloud and DevOps requirements.",10.0,8.0,B
4,cv_5,40,30,25,"The candidate's background is focused on machine learning and research, with only a brief mention of DevOps skills and no evidence of Azure, .Net, or cloud-native infrastructure experience required for the role. The lack of relevant cloud, security, and CI/CD experience results in a low fit.",15.0,5.0,B
5,cv_1,92,38,78,"The candidate has solid data analysis, visualization (Power BI), and pipeline automation experience with Python, SQL, and Azure Data Factory, matching core job requirements. However, they lack experience with Qlik Sense/Looker and any aerospace industry background, preventing a perfect score.",14.0,40.0,A
5,cv_2,40,20,18,"The candidate's background is focused on full‑stack software engineering with no explicit experience in data analysis, BI tools (Power BI, Qlik Sense, Looker), or data pipeline management. While they likely have some programming knowledge, the CV lacks the required Python/SQL data‑centric work and industry‑specific experience, resulting in a low fit.",22.0,2.0,B
5,cv_3,20,27,18,"The candidate's experience is focused on Java/Spring backend development and front‑end frameworks, with limited mention of data analysis, visualization tools, or Python. While there is some SQL exposure, the core requirements (Power BI, Qlik Sense, Looker, Python, data pipeline design) are largely absent, resulting in a low fit.",2.0,9.0,A
5,cv_4,20,21,18,"The candidate's experience is centered on full‑stack .NET development, microservices, and DevOps in fintech, with no evidence of data analysis, BI tools (Power BI, Qlik Sense, Looker), or Python/SQL expertise required for the data analyst role. Consequently, the fit is weak, though some transferable technical skills justify a low‑mid score.",2.0,3.0,A
5,cv_5,40,20,30,"The candidate has strong Python and data science experience, but lacks the specific business intelligence tools (Power BI, Qlik Sense, Looker), SQL expertise, and domain knowledge in aerospace required for the role. Overall fit is low to moderate.",10.0,10.0,tie
7,cv_1,60,21,38,"The candidate has solid Python and general machine learning experience, but lacks domain expertise in energy, Bayesian modeling (Stan, ArviZ), and many listed tools. No evidence of team leadership or the specific technical stack required.",22.0,17.0,B
7,cv_2,60,23,30,"The candidate has solid data analysis experience with Python, Pandas, NumPy, SQL, and R, but lacks demonstrated machine learning, Bayesian modeling, forecasting, or energy sector experience required by the role. The absence of key tools like scikit-learn, Stan, ArviZ, and leadership responsibilities further lowers the fit.",30.0,7.0,B
7,cv_3,40,26,30,"The candidate shows general data science and Python knowledge plus Agile experience, but lacks specific expertise in Bayesian modeling, the energy domain, and many of the required libraries and tools. Consequently, the fit is limited.",10.0,4.0,B
7,cv_4,10,19,7,"The candidate's background is focused on network engineering and security, with no evidence of experience in machine learning, Bayesian modeling, or the required data science toolset. Consequently, the fit for a Data Scientist role in the energy sector is very poor.",3.0,12.0,A
7,cv_5,10,18,7,"The candidate's experience is focused on full‑stack web development with PHP, React, and e‑commerce, showing no evidence of machine learning, Bayesian modeling, or the Python/R stack required for the data scientist role. Consequently, the fit is very low.",3.0,11.0,A
8,cv_1,82,29,58,"The candidate has solid Python and machine learning/deep learning knowledge, matching core data science skills, but lacks explicit experience with R, SQL, TensorFlow/PyTorch, scikit-learn, MLOps, Git, and data pipeline/architecture design required by the role.",24.0,29.0,A
8,cv_2,60,19,45,"The candidate has strong software engineering and generative AI experience, but the CV lacks explicit evidence of core data science skills such as Python/R for analytics, TensorFlow/PyTorch, scikit-learn, and hands‑on machine learning model development. Consequently, the fit is partial rather than strong.",15.0,26.0,A
8,cv_3,60,21,38,"The candidate has strong software engineering and AI architecture experience, but the CV lacks explicit evidence of hands‑on machine learning, deep learning frameworks, and data‑pipeline/MLOps work required by the role. Therefore the fit is partial, not a strong match.",22.0,17.0,B
8,cv_4,20,12,8,"The candidate's background is focused on creative technology, AR/XR design, and visual production, with no evidence of experience in machine learning, deep learning, Python/R, SQL, or MLOps. Consequently, the profile does not meet the core technical requirements of the data scientist/analytics engineer role.",12.0,4.0,B
8,cv_5,10,11,8,"The candidate's background is focused on full‑stack web development and front‑end technologies (React, D3, Elasticsearch) with no evidence of machine learning, deep learning, Python/R, or MLOps experience required for the data scientist role. Consequently, the fit is very poor.",2.0,3.0,A
9,cv_1,92,38,45,"The candidate has strong Python and data pipeline experience, which aligns with some job tasks, but lacks the required academic level (student master) and key tool expertise (R, SAS, MongoDB) and specific econometrics focus. The seniority also makes the fit less ideal for an internship.",47.0,7.0,B
9,cv_2,80,36,48,"The candidate has solid data science and machine learning experience, including a data science internship, but lacks specific econometrics, linear regression, and tool expertise (R, SAS, MongoDB) emphasized in the job. The profile is more senior than a master student intern, resulting in a partial fit.",32.0,12.0,B
9,cv_3,20,29,15,"The candidate's background is focused on SAP full‑stack development, web APIs, and Java/Angular, with no evidence of experience in Python, R, SAS, MongoDB, or statistical modeling required for the data science internship. Consequently, the fit to the econometrics‑oriented, data‑analysis role is very weak.",5.0,14.0,A
9,cv_4,40,28,20,"The candidate's background is focused on software engineering and back‑end development with Java/.NET, lacking explicit experience in data science, statistical modeling, or the required tools (Python, R, SAS, MongoDB). Consequently, the fit for a Data Science internship requiring econometrics and predictive modeling is weak.",20.0,8.0,B
9,cv_5,20,24,8,"The candidate's background is focused on network security and IT operations, with no evidence of experience in data science, statistical modeling, or the required tools (Python, R, SAS, MongoDB). Consequently, the profile does not meet the core requirements of the data science internship.",12.0,16.0,A
10,cv_1,82,38,58,"The candidate has solid experience with Python, data pipelines, and dashboarding, which aligns with parts of the job. However, the CV lacks evidence of econometrics, statistical modeling, R/SAS, and machine‑learning library usage required for the role, resulting in a partial match.",24.0,20.0,B
10,cv_2,70,31,42,"The candidate has solid Python and machine learning experience, but lacks the required econometrics/statistics background, proficiency in R and SAS, and demonstrated experience presenting to non‑technical stakeholders. The focus on computer vision and generative models does not align well with the job's emphasis on applied econometrics and business‑oriented data science.",28.0,11.0,B
10,cv_3,20,30,25,"The candidate's background is heavily focused on cloud engineering, DevOps, and infrastructure, with no clear evidence of econometrics, statistical modeling, or experience using Python/R data‑science libraries required for the role. While they have a data engineering degree, the CV lacks specific machine‑learning or statistical analysis projects, resulting in a poor fit.",5.0,5.0,tie
10,cv_4,20,26,12,"The candidate's background is focused on mechanical engineering, robotics, and product design with no evidence of experience in econometrics, statistical analysis, or the required data science toolset (Python, R, SAS, ML libraries). Consequently, the fit for a Data Scientist role is very weak.",8.0,14.0,A
10,cv_5,20,24,8,"The candidate's experience is focused on mobile and web development using JavaScript, TypeScript, Angular, and cloud services, with no mention of Python, R, SAS, statistical modeling, or econometrics. Consequently, the profile does not meet the core technical and domain requirements of the data scientist role.",12.0,16.0,A
11,cv_1,82,44,58,"The candidate has solid data analysis and business intelligence experience with Python, SQL, and dashboarding, but lacks explicit predictive modeling, R, and big‑data technologies (Hadoop/Spark) required for a Data Scientist role. Therefore the fit is moderate, not strong.",24.0,14.0,B
12,cv_1,60,39,35,"The candidate has solid AI and software engineering experience, but the CV lacks any mention of embedded systems, firmware development, low‑power hardware design, or Edge AI implementation, which are core requirements of the role.",25.0,4.0,B
13,cv_1,40,37,30,"The candidate is a final‑year computer engineering student with experience in Node.js, full‑stack development and agile methods, but the job requires proven experience with PHP, WordPress/Drupal, Stripe and SQL, which are not mentioned. The profile lacks the senior‑level expertise the role demands, resulting in a low match.",10.0,7.0,B
14,cv_1,92,35,65,"The candidate has solid DevOps experience, Kubernetes, CI/CD and security skills, aligning with core job requirements. However, the CV lacks explicit AWS/Azure experience and familiarity with Jenkins, Ansible, and GitLab, which are key tools in the posting.",27.0,30.0,A
14,cv_2,20,23,15,"The candidate's experience is focused on full‑stack web development (MERN, Angular, Spring Boot) with no evidence of cloud platform expertise, CI/CD pipelines, Kubernetes, Ansible, or security/monitoring tools required for a Senior DevOps role. Consequently, the profile only partially aligns with the job's core requirements.",5.0,8.0,A
14,cv_3,40,20,10,"The candidate's experience is focused on front‑end development with React/Node.js and lacks any mention of cloud platforms, CI/CD pipelines, Kubernetes, or security/monitoring—core requirements for a Senior DevOps Engineer. Consequently, the fit is minimal.",30.0,10.0,B
14,cv_4,20,15,12,"The candidate's background is focused on data analysis, Hadoop, Spark, and Python, with no mention of cloud platforms, Kubernetes, CI/CD tools, or security/monitoring experience required for a Senior DevOps Engineer. Consequently, the fit is very low.",8.0,3.0,B
14,cv_5,40,15,12,"The candidate's background is focused on machine learning research and deep learning internships, with no evidence of cloud platforms, CI/CD pipelines, or DevOps tooling such as Kubernetes, Jenkins, Ansible, or GitLab. Consequently, the profile does not meet the core technical requirements of the Senior DevOps Engineer role.",28.0,3.0,B
15,cv_1,82,32,48,"The candidate demonstrates solid full‑stack experience with Java, JavaScript, React and a focus on code quality and security, aligning with parts of the role. However, key required technologies such as Go, Python, NodeJS/Express, PostgreSQL, MongoDB, Django, and explicit GitHub/GitLab experience are absent, limiting the overall fit.",34.0,16.0,B
15,cv_2,60,25,40,"The candidate has solid Java and Spring experience and some full‑stack work, but lacks most of the required technologies such as Go, Python, NodeJS/Express, React, GitHub/GitLab, PostgreSQL, MongoDB, and Django. This results in a partial fit rather than a strong match.",20.0,15.0,B
15,cv_3,70,37,45,"The candidate has strong Python and Django experience, aligning with part of the stack, but lacks most of the other required technologies such as Java, JavaScript, Go, NodeJS, Express, React, GitHub/GitLab, PostgreSQL, and MongoDB, resulting in only a partial fit.",25.0,8.0,B
15,cv_4,10,22,8,"The candidate's background is in electrical and telecommunications engineering, focusing on hardware, network troubleshooting, and BTS equipment, with no mention of software development, web technologies, or the required programming languages. Consequently, the profile does not meet the core full‑stack development requirements of the job.",2.0,14.0,A
15,cv_5,40,19,20,"The candidate's background is focused on machine learning, deep learning research, and DevOps, with limited evidence of experience in the full‑stack web technologies listed (Java, JavaScript, Go, NodeJS/Express, React, PostgreSQL, MongoDB, Django). While Python and NestJS are mentioned, the core requirements for a full‑stack developer are largely missing, resulting in a low fit.",20.0,1.0,B
16,cv_1,92,43,78,"The candidate has solid data analysis experience, strong Power BI and SQL skills, and a proven track record building dashboards and automating pipelines, matching core job duties. However, the CV does not mention SSRS, SSMS, or SSIS, which are explicitly required, so the fit is not perfect.",14.0,35.0,A
16,cv_2,20,8,12,"The candidate's background is in electrical and telecommunications engineering with no mention of data analysis, BI tools, or SQL Server technologies required for the role. Consequently, the fit for the Data Analyst position is very weak.",8.0,4.0,B
16,cv_3,20,8,12,"The candidate's background is in electrical and telecommunications engineering with focus on hardware, network troubleshooting, and BTS equipment, showing no experience with data analysis tools such as Power BI, SSRS, SSMS, or SSIS. Consequently, the profile does not meet the core technical requirements of the Data Analyst role.",8.0,4.0,B
16,cv_4,60,9,30,"The candidate has strong programming and SQL skills and experience with data-oriented projects, but lacks explicit experience with the core tools (Power BI, SSRS, SSMS, SSIS) and dashboard/KPI responsibilities required for the Data Analyst role. This results in a partial but limited match.",30.0,21.0,B
16,cv_5,40,7,20,"The candidate's background is focused on machine learning research and deep learning, with no evidence of experience in Power BI, SSRS, SSMS, SSIS, dashboard creation, or KPI monitoring required for the Data Analyst role. While they have data handling skills, the lack of business intelligence and analytics experience makes the fit poor.",20.0,13.0,B
17,cv_1,80,38,48,"The candidate has solid DevOps experience (3.5 years) and knows Terraform, Docker, and CI/CD, but lacks key requirements such as Kubernetes, AWS, and monitoring tools like Prometheus/Grafana. The missing core technologies lower the fit despite relevant cloud and automation skills.",32.0,10.0,B
17,cv_2,60,41,48,"The candidate has solid DevOps/SRE experience and knows Terraform, which aligns with the job, but lacks explicit experience with core required tools like Kubernetes, AWS, Docker, Prometheus, and Grafana. This makes the fit partial rather than strong.",12.0,7.0,B
17,cv_3,20,32,10,"The candidate's profile focuses on backend development with Java, Python, C# and database work, and does not mention any experience with Kubernetes, Terraform, AWS, Docker, Prometheus, Grafana, or CI/CD pipeline automation required for the DevOps role. Consequently, the fit is very low.",10.0,22.0,A
17,cv_4,20,26,12,"The candidate's experience is focused on AI/ML research, FastAPI, and TensorFlow, with no mention of Kubernetes, Terraform, AWS, Docker, or CI/CD pipeline work. Consequently, the profile lacks the core DevOps skills required for the role, resulting in a very low fit.",8.0,14.0,A
18,cv_1,40,46,30,"The candidate has solid full‑stack and agile experience, but lacks the core technologies required (PHP, Symfony, Docker, MySQL/PostgreSQL, Doctrine, GitLab/GitHub). The mismatch on the primary tech stack reduces the fit significantly.",10.0,16.0,A
21,cv_1,20,19,18,"The candidate has solid full‑stack development experience and agile project work, but lacks demonstrated expertise in systems, networking, security, and reliability engineering required for a Site Reliability Engineer role. Consequently, the fit is weak, though some relevant software engineering skills are present.",2.0,1.0,B
21,cv_2,92,20,88,"The candidate has strong expertise in Kubernetes, IaC, DevSecOps, and cloud platforms, which aligns well with the reliability, scalability, and security focus of the Site Reliability Engineer role. While the CV emphasizes cloud-native infrastructure more than traditional networking, the overall skill set matches the core requirements.",4.0,68.0,A
21,cv_3,82,15,68,"The candidate has solid DevOps and cloud engineering experience with tools like Jenkins and Ansible, which aligns with reliability and automation aspects of the role. However, the CV lacks explicit SRE, networking, and security responsibilities, so the fit is good but not perfect.",14.0,53.0,A
21,cv_4,20,15,10,"The candidate's background is centered on machine learning research and AI engineering, with no evident experience in site reliability, systems administration, networking, or security. Consequently, the fit for the SRE role is very low.",10.0,5.0,B
21,cv_5,40,15,30,"The candidate's background is heavily focused on machine learning, deep learning research, and a brief internship, with only a mention of DevOps skills. While there is some overlap in development and potential operations knowledge, the core SRE requirements—systems, networking, security, and reliability engineering—are not demonstrated.",10.0,15.0,A
22,cv_1,70,47,48,"The candidate has solid Azure and general DevOps experience, but lacks explicit evidence of Terraform, DevSecOps, .Net, and deep Microsoft ecosystem expertise required for a senior cloud architect role. The CV also does not demonstrate proven security‑by‑design or cloud‑native architecture work, leading to a partial match.",22.0,1.0,B
22,cv_2,40,28,30,"The candidate has solid DevOps experience with AWS, Docker, and Terraform, which aligns with the infrastructure-as-code and containerization aspects of the role. However, the CV lacks any mention of Azure, .Net, Microsoft ecosystem, or explicit DevSecOps/security pipeline experience, which are core requirements for the cloud architect position.",10.0,2.0,B
22,cv_3,20,31,28,"The candidate shows some DevOps and cloud computing experience, but lacks specific Azure, Terraform, .Net, and Microsoft ecosystem expertise required for the cloud architect role. Absence of demonstrated security pipeline and container orchestration work further lowers the fit.",8.0,3.0,B
22,cv_4,20,25,12,"The candidate's experience is focused on full‑stack web development with the MERN stack and lacks any mention of Azure, Terraform, DevSecOps, or cloud‑native architecture. Consequently, the profile does not meet the core cloud architect requirements of the job.",8.0,13.0,A
22,cv_5,20,28,12,"The candidate's background is focused on machine learning and deep learning research, with no evidence of experience in cloud architecture, Azure, DevSecOps, Terraform, or security pipelines. Consequently, the profile does not meet the core technical and experiential requirements of the cloud architect role.",8.0,16.0,A
23,cv_1,82,24,35,"The candidate has solid full‑stack JavaScript experience but lacks the required PHP, Magento, Laravel/Symfony, Python/Java, and PWA/NextJs/Strapi expertise highlighted in the job description. Consequently, the fit is partial but missing many key technologies.",47.0,11.0,B
23,cv_2,60,21,35,"The candidate has solid full‑stack experience with Java, Spring, Angular/Vue, which aligns with the general full‑stack requirement, but lacks the majority of the specific technologies demanded (PHP, Magento, Laravel, Symfony, NextJs, Strapi, TypeScript, Python). Consequently the fit is partial but far from ideal.",25.0,14.0,B
23,cv_3,40,21,25,"The candidate has solid software engineering experience at Microsoft and teaching roles, but the CV shows no evidence of the required full‑stack web technologies such as PHP, Magento, Laravel, Symfony, NextJs, or Strapi. The lack of relevant web development experience makes the fit poor.",15.0,4.0,B
23,cv_4,10,20,5,"The candidate's background is in electrical and telecommunications engineering with experience in hardware, network troubleshooting, and BTS equipment, which does not align with the full‑stack development, Magento migration, and web technologies required by the job. There is no evidence of relevant programming languages, frameworks, or web development experience.",5.0,15.0,A
23,cv_5,20,18,12,"The candidate's background is centered on machine learning, deep learning research, and DevOps, with no evidence of experience in full‑stack web development, PHP, Magento, NextJs, or related frameworks required by the job. Consequently, the fit is very low.",8.0,6.0,B
25,cv_1,82,19,48,"The candidate has solid generative AI and full‑stack experience, including RAG integration, which aligns with the AI focus of the role. However, the CV lacks explicit evidence of FastAPI, scalable RESTful API development, robust database architecture, and production‑grade transformer model deployment, which are key job requirements.",34.0,29.0,B
25,cv_2,60,20,30,"The candidate has some AI exposure at Microsoft but lacks explicit experience with FastAPI, RESTful APIs, transformer model deployment, and robust database architectures required by the job. Overall the profile only partially aligns with the AI engineering focus.",30.0,10.0,B
25,cv_3,20,20,10,"The CV shows a Microsoft consultant and data scientist background but lacks any mention of machine learning, NLP, FastAPI, RESTful APIs, or transformer model deployment, which are core requirements of the job. Consequently, the fit is very weak.",10.0,10.0,tie
25,cv_4,20,15,12,"The candidate's experience is focused on network and security engineering with no clear evidence of machine learning, NLP, FastAPI, or production AI model integration, which are core requirements of the role. The brief mention of an ""AI Editor"" is insufficient to demonstrate the required expertise.",8.0,3.0,B
25,cv_5,92,15,25,"The candidate has solid machine learning and deep learning experience, but the CV lacks any mention of NLP, transformer models, FastAPI, RESTful API development, or production‑grade AI system deployment, which are core requirements of the role. Consequently, the fit is limited to general ML expertise.",67.0,10.0,B
26,cv_1,20,32,18,"The candidate has general software engineering experience and some backend exposure with Node.js, but lacks the specific technologies (Go, PostgreSQL, Redis, Kafka, gRPC, Kubernetes) and architectural expertise (Clean Architecture, SOLID, microservices) required for the role. Consequently, the fit is weak.",2.0,14.0,A
26,cv_2,60,36,30,"The candidate has strong SRE/DevOps experience with Kubernetes, but lacks demonstrated backend development skills in Go, databases, messaging, and Clean Architecture/SOLID principles required for the role. The mismatch in core programming and microservice refactoring experience leads to a low fit.",30.0,6.0,B
26,cv_3,40,34,25,"The candidate's experience is focused on full‑stack and mobile app development with React and Node.js, lacking any mention of Go, PostgreSQL, Redis, Kafka, gRPC, Kubernetes, or microservice architecture. There is also no evidence of expertise in Clean Architecture or SOLID principles required for the backend role.",15.0,9.0,B
26,cv_4,40,47,30,"The candidate has solid full‑stack and Python/Django experience but lacks the required Go, PostgreSQL, Redis, Kafka, gRPC, and Kubernetes expertise, as well as explicit experience with Clean Architecture and SOLID principles. Consequently, the fit for this backend engineer role is limited.",10.0,17.0,A
26,cv_5,40,22,15,"The candidate's background is focused on machine learning, deep learning research, and some DevOps, with no evidence of Go, PostgreSQL, Redis, Kafka, gRPC, Kubernetes, or Clean Architecture experience required for the backend engineer role. Consequently, the fit is minimal, resulting in a low score.",25.0,7.0,B
27,cv_1,40,35,18,"The candidate's background is focused on .NET, C#, JavaScript and Java development with no evidence of experience in C/C++, VHDL, or hardware communication protocols required for embedded systems. Consequently, the profile only partially aligns with the software aspects of the role and lacks the core embedded engineering skills.",22.0,17.0,B
27,cv_2,20,23,12,"The candidate's background is focused on machine learning, MLOps, and digital transformation, with no evidence of experience in embedded systems, C/C++, Java, VHDL, or hardware communication protocols required by the job. Consequently, the fit is very low.",8.0,11.0,A
27,cv_3,20,23,15,"The candidate's experience is focused on DevOps, cloud infrastructure, and CI/CD tooling, with no mention of embedded systems, C/C++, VHDL, or hardware communication protocols required by the job. Consequently, the profile lacks the core technical skills and domain experience needed for the embedded systems engineer role.",5.0,8.0,A
27,cv_4,20,35,15,"The candidate's experience is focused on mobile and web development using JavaScript, TypeScript, and .NET technologies, with no evidence of C/C++, Java for embedded, VHDL, or hardware communication protocols required for the embedded systems role. Consequently, the profile does not meet the core technical and domain requirements of the job.",5.0,20.0,A
27,cv_5,20,21,12,"The candidate's background is focused on machine learning, deep learning, and research internships, with no evident experience in embedded systems, C/C++, VHDL, or hardware communication protocols required by the job. Consequently, the fit is very weak, resulting in a low score.",8.0,9.0,A
28,cv_1,82,15,68,"The candidate has solid React and Node.js (via Express) experience and strong UI/UX skills, matching key front‑end requirements. However, they lack explicit PHP/Laravel and PostgreSQL experience, which are core backend technologies for the role, resulting in a partial rather than full match.",14.0,53.0,A
28,cv_2,40,19,25,"The candidate's experience is centered on mobile development (Flutter/Dart) and DevOps/backend engineering with Go and Python, lacking the required web front‑end skills (React) and back‑end stack (Node.js, PHP/Laravel, PostgreSQL). Therefore the fit is low but not zero.",15.0,6.0,B
28,cv_3,92,25,58,"The candidate has strong experience with React and Node.js, matching key front‑end and some back‑end requirements. However, the CV lacks any mention of PHP/Laravel and PostgreSQL, which are essential for the full‑stack role, resulting in a partial rather than full match.",34.0,33.0,B
28,cv_4,20,16,13,"The candidate's background is focused on data science, machine learning, and AI engineering, with no evidence of experience in React, Node.js, PHP/Laravel, or PostgreSQL, which are core requirements for the full‑stack role. Consequently, the fit is very low.",7.0,3.0,B
28,cv_5,40,11,20,"The candidate's background is heavily focused on machine learning, DevOps, and research, with only a brief mention of NestJS, which is tangentially related to Node.js. There is no evidence of experience with React, PHP/Laravel, PostgreSQL, or UI design, which are core requirements for the full stack role.",20.0,9.0,B
30,cv_1,30,40,28,"The candidate is a final‑year student with basic DevOps exposure (Docker, Linux, CI/CD) and some ML coursework, but lacks the required expert experience in large‑scale data architectures, Kubernetes, Jenkins, AWS, and production MLOps pipelines. Therefore the fit is limited and well below a senior‑level role.",2.0,12.0,A
30,cv_2,20,16,12,"The candidate's experience is focused on full‑stack web development with technologies like React, Next.js, and Spring Boot, and lacks any mention of DevOps/MLOps tools, cloud platforms, or data pipeline work required by the job. Consequently, the profile does not meet the core requirements for Docker, Kubernetes, CI/CD, AWS, or large‑scale data infrastructure.",8.0,4.0,B
30,cv_3,92,43,58,"The candidate has strong AWS, Linux, and Docker experience, matching core DevOps tools, but lacks explicit MLOps experience, Kubernetes, Jenkins, and large‑scale data pipeline design required for the role. This results in a partial fit rather than a strong match.",34.0,15.0,B
30,cv_4,20,26,12,"The candidate's experience is focused on full‑stack Java/Spring and React development for embedded tooling, with no mention of DevOps/MLOps, containerization, orchestration, CI/CD, cloud platforms, or data pipeline work required by the job. Consequently, the profile matches only minimally with the required skill set.",8.0,14.0,A
