job_idx,cv_col,source,model,label,score,label_checked,justification,generated_at
10,cv_3,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Le candidat possède une solide expérience en DevOps et cloud computing, notamment avec des outils comme Kubernetes et Terraform, ce qui est pertinent pour un rôle de data science. Cependant, son profil est principalement axé sur l'infrastructure et l'automatisation, et il manque de l'expertise spécifique en économétrie, en statistiques appliquées et dans l'utilisation des outils de data science mentionnés (Python, R, SAS) comme l'exige l'offre d'emploi.",2026-05-06T20:54:37.709371
10,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's background is primarily in robotics engineering and product development, with experience in hardware design and prototyping. While they possess some relevant skills like mechanical design and automation, their experience doesn't heavily emphasize econometrics, statistical modeling, or the specific tools (Python, R, SAS) listed in the job description. Their projects focused on robotics and automation, which is a valuable skill but doesn't directly align with the core requirements of the data scientist role.",2026-05-06T20:54:41.943274
10,cv_5,ollama,gemma3:4b,Moderate Match,45,Weak Match,"The candidate's extensive experience in web and mobile development, including front-end technologies like JavaScript, HTML, and CSS, doesn't directly align with the data science role's focus on econometrics and statistical modeling. While they possess some technical skills like R and Python through their work, the core expertise required for the advertised position is lacking.",2026-05-06T20:54:45.296624
11,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"Anas's CV demonstrates a strong alignment with the job description, showcasing extensive experience in data analysis, reporting, and data pipeline development using tools like Power BI, Python, SQL, and Azure Data Factory – all of which are explicitly mentioned as desirable skills. His background in financial analysis and automation further aligns with the role's focus on leveraging data for business growth.",2026-05-06T20:54:48.997770
11,cv_2,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's experience as a Cloud Operations Engineer at Infor aligns with the need for someone comfortable with cloud technologies like Hadoop and Spark, and their Python skills are relevant. However, the CV lacks specific details about data science projects, machine learning experience, and the desired R proficiency, which are key requirements of the role.",2026-05-06T20:54:52.703600
11,cv_3,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"The candidate's background is primarily in full-stack development with experience in .NET Core, Angular, and Java, which aligns with some of the technical skills listed in the job description. However, the CV lacks specific experience with data science tools like R, Python, SQL, Hadoop, and Spark, and the focus on web development suggests a weaker fit for the role's emphasis on data analysis and predictive modeling.",2026-05-06T20:54:56.477469
11,cv_4,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's experience with data science projects, including image segmentation, deep learning model development, and data pipeline creation, aligns well with the job description's focus on predictive modeling and data analysis. While the candidate's background is primarily in software engineering and data engineering, their demonstrated skills in machine learning and experience with relevant tools like Python and R make them a strong potential fit for the role.",2026-05-06T20:55:00.026747
11,cv_5,ollama,gemma3:4b,Strong Match,88,Strong Match,"Heni Loukil's experience as a Machine Learning Engineer at InstaDeep, coupled with her internship projects focused on Deep Learning and Geometric Deep Learning, directly aligns with the requirements of the Data Scientist role. Her skills in R, Python, and familiarity with frameworks like TensorFlow and Scikit-Learn make her a strong candidate for developing predictive models and analyzing data trends.",2026-05-06T20:55:03.322165
12,cv_1,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's experience with AI, RAG, and DevOps aligns well with the job description's focus on Edge AI and system development. While the candidate's previous roles are primarily in full-stack development, their recent experience as a Generative AI Engineer and involvement with RAG systems demonstrates a relevant skillset for this Edge AI position.",2026-05-06T20:55:07.328922
12,cv_2,ollama,gemma3:4b,Moderate Match,68,Moderate Match,"The candidate's experience as a Data Consultant with Python and Machine Learning aligns with some aspects of the role, particularly the use of Python and data analysis. However, the CV lacks specific experience in Edge AI, embedded systems, RTOS, or the listed tools like LLVM and TVM, which are crucial for this position.",2026-05-06T20:55:10.642802
12,cv_3,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's experience as a DevOps Engineer at TCS, particularly with AWS, Docker, and DevOps practices, aligns well with the job description's focus on Edge AI, systems embedded, and utilizing tools like Docker and Azure DevOps. While the CV doesn't explicitly mention LLVM or PyTorch, the candidate's background in software testing and development, combined with their skills in C/C++, suggests a strong foundation for tackling the technical challenges outlined in the job description.",2026-05-06T20:55:14.518482
12,cv_4,ollama,gemma3:4b,Strong Match,88,Strong Match,"Samuel's extensive experience in AR/XR development, including roles at Imvizar, Tripledot Studios, and Microsoft, directly aligns with the Edge AI and embedded systems focus of the job description. His skills in Unity, Unreal Engine, Python, and familiarity with tools like LLVM and Docker make him a highly suitable candidate for this technically demanding role.",2026-05-06T20:55:18.486651
12,cv_5,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's experience as a Machine Learning Engineer at InstaDeep, particularly with Deep Learning and Geometric Deep Learning, aligns well with the Edge AI and systems embedded focus of the role. Their project involving Deep Graph CNNs and Alzheimer's disease classification demonstrates a strong understanding of relevant techniques and a passion for complex problem-solving, which is highlighted as a key requirement.",2026-05-06T20:55:22.316575
13,cv_1,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Hamza possède une expérience récente en développement Full-Stack avec Node.js, Next.js et Java Spring Boot, ce qui correspond à une partie des compétences recherchées, mais il manque d'expérience directe avec les technologies spécifiques mentionnées dans l'offre (PHP, Drupal, WordPress, Stripe, SQL) et son expérience professionnelle est limitée.  Bien qu'il mentionne une connaissance des méthodologies agiles, son profil est celui d'un étudiant cherchant un PFE, ce qui peut limiter son expérience pratique.",2026-05-06T20:55:26.329261
13,cv_2,ollama,gemma3:4b,Strong Match,88,Strong Match,"The candidate's extensive experience in XR development, AI integration, and game design aligns perfectly with the job description's requirements for a web developer with a focus on scalable and secure applications. Their skills in Unity, Unreal Engine, and various frameworks, combined with their experience in leading projects and collaborating with interdisciplinary teams, make them a strong fit for this role.",2026-05-06T20:55:30.090189
13,cv_3,ollama,gemma3:4b,Good Fit,75,Good Fit,"Le candidat possède une expérience significative dans le développement web, notamment avec Angular, React et Spring Boot, ce qui correspond aux technologies utilisées par l'entreprise. Bien que l'offre mentionne spécifiquement WordPress et Drupal, le CV démontre une compétence solide dans les frameworks modernes et les technologies backend, ce qui est un atout important.",2026-05-06T20:55:33.422653
13,cv_4,ollama,gemma3:4b,Good Fit,78,Good Fit,"Hakim's extensive background in electrical engineering, particularly with research focused on IoT, wireless networks, and intelligent transportation systems aligns well with the technical stack and project goals outlined in the job description. While the CV doesn't explicitly list all the required frameworks, his experience with WordPress and Drupal, combined with his strong academic background, suggests he possesses the necessary skills to quickly adapt and contribute effectively.",2026-05-06T20:55:37.779269
13,cv_5,ollama,gemma3:4b,Good Fit,75,Good Fit,"Heni Loukil possède une expérience significative en Machine Learning et Deep Learning, ce qui correspond à l'utilisation de technologies avancées comme le Deep Learning et les réseaux de neurones, mais son expérience principale est dans le domaine de la recherche et du développement, et ne correspond pas directement aux missions de développement web décrites dans l'offre.",2026-05-06T20:55:40.841052
14,cv_1,ollama,gemma3:4b,Strong Match,88,Strong Match,"Amadou BA possède une expérience significative avec les technologies clés mentionnées dans l'offre d'emploi, notamment Azure DevOps, Kubernetes, Terraform, Ansible et GitLab CI/CD. Son expérience chez 3S Standard Sharing Software, où il travaille sur des environnements virtualisés et automatise les déploiements, correspond directement aux responsabilités décrites dans l'annonce, faisant de lui un candidat très pertinent.",2026-05-06T20:55:44.484365
14,cv_2,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Hazem's CV highlights full-stack development experience with MERN and Spring Boot, aligning with some of the technologies listed in the job description (Node.js, Python). However, his experience lacks specific DevOps tools like Kubernetes, Ansible, and Terraform, which are heavily emphasized in the role, and his projects are primarily web application focused rather than infrastructure automation and cloud deployment.",2026-05-06T20:55:48.283284
14,cv_3,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Hector's background is primarily in front-end development with React and Node.js, which aligns with some aspects of the DevOps role, particularly the use of Jenkins and GitLab. However, the job description emphasizes cloud infrastructure (AWS, Azure, Terraform), Kubernetes, and a broader DevOps skillset that is not strongly represented in Hector's experience, especially regarding security and monitoring.",2026-05-06T20:55:52.081457
14,cv_4,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"While Emna possesses relevant skills like Python and SQL, the job description heavily emphasizes cloud technologies (AWS, Azure, Kubernetes, Terraform) and DevOps tools (Jenkins, Ansible, GitLab) which are not prominently featured in her CV. Her experience as a data analyst, while valuable, doesn't directly align with the Senior DevOps Engineer role's requirements.",2026-05-06T20:55:55.246213
14,cv_5,ollama,gemma3:4b,Moderate Match,65,Moderate Match,"Heni Loukil's background is primarily in deep learning and machine learning, with a strong focus on geometric deep learning and Alzheimer's disease classification, which doesn't directly align with the Senior DevOps Engineer role's emphasis on cloud infrastructure and CI/CD tools. While her education is in Computer Science, her recent experience lacks the practical DevOps skills and experience with tools like Terraform, Ansible, and Kubernetes listed in the job description.",2026-05-06T20:55:58.713055
15,cv_1,ollama,gemma3:4b,Good Fit,78,Good Fit,"The candidate's experience with Java, React, and Node.js aligns well with the job description's required technologies, particularly the specified stack of NodeJS, Express, React, and MongoDB. While the candidate's experience is relatively recent, their focus on full-stack development and DevOps practices demonstrates a strong potential fit for the role's demands.",2026-05-06T20:56:02.013005
15,cv_2,ollama,gemma3:4b,Weak Match,35,Weak Match,"Le CV du candidat présente une expérience limitée et des compétences techniques obsolètes, notamment avec JSP et Spring, qui ne correspondent pas aux technologies modernes et recherchées (NodeJS, React, MongoDB) mentionnées dans l'offre d'emploi. Bien que le candidat ait des bases en Java, l'absence d'expérience récente avec les technologies clés de la stack technique rend ce poste peu adapté.",2026-05-06T20:56:05.749736
