row_idx,job_snippet,score_cv_1,score_cv_2,score_cv_3,score_cv_4,score_cv_5,label_cv_1,label_cv_2,label_cv_3,label_cv_4,label_cv_5,predicted_best_cv,predicted_label,scores,labels
10,mission passionnante pour un data scientist en économétrie et statistique appliq,0.9420717311539379,0.962587795207607,0.9152694902705593,0.0,0.8632631157387896,data analyst,ai engineer,cloud engineer,reality solution designer,backend engineer,cv_2,ai engineer,"{'cv_1': 0.9420717311539379, 'cv_2': 0.962587795207607, 'cv_3': 0.9152694902705593, 'cv_4': 0.0, 'cv_5': 0.8632631157387896}","{'cv_1': 'data analyst', 'cv_2': 'ai engineer', 'cv_3': 'cloud engineer', 'cv_4': 'reality solution designer', 'cv_5': 'backend engineer'}"
11,votre prochain défi professionnel est chez notre entreprise en tant que data sci,0.9848881337566606,0.957959016341589,0.9592835533145778,0.9776008457059404,0.9574318602292752,data analyst,cloud engineer,frontend,machine learning engineer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9848881337566606, 'cv_2': 0.957959016341589, 'cv_3': 0.9592835533145778, 'cv_4': 0.9776008457059404, 'cv_5': 0.9574318602292752}","{'cv_1': 'data analyst', 'cv_2': 'cloud engineer', 'cv_3': 'frontend', 'cv_4': 'machine learning engineer', 'cv_5': 'machine learning engineer'}"
12,votre prochain défi professionnel se trouve dans un poste stratégique en edge ai,0.9112421534574424,0.9624258609408394,0.9696104508646112,0.9236888338270379,0.9621461775525196,frontend,machine learning engineer,devops,reality solution designer,machine learning engineer,cv_3,devops,"{'cv_1': 0.9112421534574424, 'cv_2': 0.9624258609408394, 'cv_3': 0.9696104508646112, 'cv_4': 0.9236888338270379, 'cv_5': 0.9621461775525196}","{'cv_1': 'frontend', 'cv_2': 'machine learning engineer', 'cv_3': 'devops', 'cv_4': 'reality solution designer', 'cv_5': 'machine learning engineer'}"
13,mission passionnante pour un développeur web expérimenté ! nous recherchons un e,0.9562105479041879,0.8893032851143546,0.9432141654021311,0.9121835115767175,0.9052965271684119,web developer junior,reality solution designer,software(full stack),senior research scientist engineer,machine learning engineer,cv_1,web developer junior,"{'cv_1': 0.9562105479041879, 'cv_2': 0.8893032851143546, 'cv_3': 0.9432141654021311, 'cv_4': 0.9121835115767175, 'cv_5': 0.9052965271684119}","{'cv_1': 'web developer junior', 'cv_2': 'reality solution designer', 'cv_3': 'software(full stack)', 'cv_4': 'senior research scientist engineer', 'cv_5': 'machine learning engineer'}"
14,votre prochain défi professionnel chez une entreprise dynamique en tant que seni,0.9783785867103454,0.9288760502226671,0.9247969182766791,0.9340549820166492,0.9120134670666243,cloud engineer,software(full stack),frontend,data analyst,machine learning engineer,cv_1,cloud engineer,"{'cv_1': 0.9783785867103454, 'cv_2': 0.9288760502226671, 'cv_3': 0.9247969182766791, 'cv_4': 0.9340549820166492, 'cv_5': 0.9120134670666243}","{'cv_1': 'cloud engineer', 'cv_2': 'software(full stack)', 'cv_3': 'frontend', 'cv_4': 'data analyst', 'cv_5': 'machine learning engineer'}"
15,votre prochain défi professionnel se trouve dans un poste stratégique en dévelop,0.9675341074985009,0.9475889607906367,0.969385071852171,0.8298308875906966,0.9131245472607644,full stack engineer,full stack engineer,full stack engineer,ntework engineer,machine learning engineer,cv_3,full stack engineer,"{'cv_1': 0.9675341074985009, 'cv_2': 0.9475889607906367, 'cv_3': 0.969385071852171, 'cv_4': 0.8298308875906966, 'cv_5': 0.9131245472607644}","{'cv_1': 'full stack engineer', 'cv_2': 'full stack engineer', 'cv_3': 'full stack engineer', 'cv_4': 'ntework engineer', 'cv_5': 'machine learning engineer'}"
16,mission passionnante pour un data analyst chez notre entreprise de technologie. ,0.9829595101818566,0.8078919322605332,0.8078919322605332,0.9405477757085722,0.9192512122789036,data analyst,network engineer,ntework engineer,senior research scientist engineer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9829595101818566, 'cv_2': 0.8078919322605332, 'cv_3': 0.8078919322605332, 'cv_4': 0.9405477757085722, 'cv_5': 0.9192512122789036}","{'cv_1': 'data analyst', 'cv_2': 'network engineer', 'cv_3': 'ntework engineer', 'cv_4': 'senior research scientist engineer', 'cv_5': 'machine learning engineer'}"
17,mission passionnante pour un ingénieur devops expérimenté chez notre entreprise ,0.9589883862498172,0.9177106583470318,0.9496948060809289,0.9025006339738637,0.8963789989234203,devops,site reliability engineer,backend engineer,machine learning engineer,machine learning engineer,cv_1,devops,"{'cv_1': 0.9589883862498172, 'cv_2': 0.9177106583470318, 'cv_3': 0.9496948060809289, 'cv_4': 0.9025006339738637, 'cv_5': 0.8963789989234203}","{'cv_1': 'devops', 'cv_2': 'site reliability engineer', 'cv_3': 'backend engineer', 'cv_4': 'machine learning engineer', 'cv_5': 'machine learning engineer'}"
18,votre prochain défi professionnel est chez skygate en tant que développeur full-,0.9366873048115346,0.9154222623094928,0.8963989244397752,0.9212475378762007,0.8840862321119125,web developer junior,site reliability engineer,machine learning engineer,data science,machine learning engineer,cv_1,web developer junior,"{'cv_1': 0.9366873048115346, 'cv_2': 0.9154222623094928, 'cv_3': 0.8963989244397752, 'cv_4': 0.9212475378762007, 'cv_5': 0.8840862321119125}","{'cv_1': 'web developer junior', 'cv_2': 'site reliability engineer', 'cv_3': 'machine learning engineer', 'cv_4': 'data science', 'cv_5': 'machine learning engineer'}"
19,mission passionnante pour un ingénieur logiciel sénior expérimenté dans le domai,0.9558525049060941,0.9441743006204215,0.9165075718864601,0.0,0.9322428117159232,full stack engineer,backend engineer,data science,reality solution designer,machine learning engineer,cv_1,full stack engineer,"{'cv_1': 0.9558525049060941, 'cv_2': 0.9441743006204215, 'cv_3': 0.9165075718864601, 'cv_4': 0.0, 'cv_5': 0.9322428117159232}","{'cv_1': 'full stack engineer', 'cv_2': 'backend engineer', 'cv_3': 'data science', 'cv_4': 'reality solution designer', 'cv_5': 'machine learning engineer'}"
20,votre prochain défi professionnel en tant que développeur web full-stack chez un,0.9375103253686828,0.9429031455193058,0.8688424338237419,0.8456378937956563,0.8623944766009406,software(full stack),full stack engineer,devops,data science,machine learning engineer,cv_2,full stack engineer,"{'cv_1': 0.9375103253686828, 'cv_2': 0.9429031455193058, 'cv_3': 0.8688424338237419, 'cv_4': 0.8456378937956563, 'cv_5': 0.8623944766009406}","{'cv_1': 'software(full stack)', 'cv_2': 'full stack engineer', 'cv_3': 'devops', 'cv_4': 'data science', 'cv_5': 'machine learning engineer'}"
21,mission passionnante pour un ingénieur de confiance de site en tant que membre c,0.9374194822698578,0.9527076510450536,0.9145379151000854,0.9326501088389997,0.9092198969168056,web developer junior,cloud &devops engineer,backend engineer,ai engineer,machine learning engineer,cv_2,cloud &devops engineer,"{'cv_1': 0.9374194822698578, 'cv_2': 0.9527076510450536, 'cv_3': 0.9145379151000854, 'cv_4': 0.9326501088389997, 'cv_5': 0.9092198969168056}","{'cv_1': 'web developer junior', 'cv_2': 'cloud &devops engineer', 'cv_3': 'backend engineer', 'cv_4': 'ai engineer', 'cv_5': 'machine learning engineer'}"
22,mission passionnante pour un architecte cloud expérimenté chez une entreprise le,0.9279679510475982,0.9546210177310136,0.8611940290711282,0.8490371408872188,0.8360950861131201,devops,devops,backend engineer,software(full stack),machine learning engineer,cv_2,devops,"{'cv_1': 0.9279679510475982, 'cv_2': 0.9546210177310136, 'cv_3': 0.8611940290711282, 'cv_4': 0.8490371408872188, 'cv_5': 0.8360950861131201}","{'cv_1': 'devops', 'cv_2': 'devops', 'cv_3': 'backend engineer', 'cv_4': 'software(full stack)', 'cv_5': 'machine learning engineer'}"
23,mission passionnante pour un développeur full-stack expérimenté chez une entrepr,0.9345474277897047,0.9339650733883376,0.9347335518995414,0.8030009431903615,0.917786554831353,web developer junior,full stack engineer,full stack engineer,ntework engineer,machine learning engineer,cv_3,full stack engineer,"{'cv_1': 0.9345474277897047, 'cv_2': 0.9339650733883376, 'cv_3': 0.9347335518995414, 'cv_4': 0.8030009431903615, 'cv_5': 0.917786554831353}","{'cv_1': 'web developer junior', 'cv_2': 'full stack engineer', 'cv_3': 'full stack engineer', 'cv_4': 'ntework engineer', 'cv_5': 'machine learning engineer'}"
24,mission passionnante pour un ingénieur en intelligence artificielle et apprentis,0.9383495959813792,0.8941855082813133,0.9180427225365934,0.8910617015240004,0.8849421051529646,machine learning engineer,full stack engineer,site reliability engineer,cloud engineer,full stack engineer,cv_1,machine learning engineer,"{'cv_1': 0.9383495959813792, 'cv_2': 0.8941855082813133, 'cv_3': 0.9180427225365934, 'cv_4': 0.8910617015240004, 'cv_5': 0.8849421051529646}","{'cv_1': 'machine learning engineer', 'cv_2': 'full stack engineer', 'cv_3': 'site reliability engineer', 'cv_4': 'cloud engineer', 'cv_5': 'full stack engineer'}"
25,mission passionnante pour un ingénieur en intelligence artificielle expérimenté ,0.9091027663873101,0.938926440882475,0.9146394995007057,0.8134188032161804,0.9558021235794554,frontend,full stack engineer,data science,ntework engineer,machine learning engineer,cv_5,machine learning engineer,"{'cv_1': 0.9091027663873101, 'cv_2': 0.938926440882475, 'cv_3': 0.9146394995007057, 'cv_4': 0.8134188032161804, 'cv_5': 0.9558021235794554}","{'cv_1': 'frontend', 'cv_2': 'full stack engineer', 'cv_3': 'data science', 'cv_4': 'ntework engineer', 'cv_5': 'machine learning engineer'}"
26,votre prochain défi professionnel est un poste de backend engineer dans une entr,0.9386442650734075,0.9439468920005133,0.9043659978680574,0.9526332851863087,0.9053932035784032,web developer junior,site reliability engineer,software(full stack),full stack engineer,machine learning engineer,cv_4,full stack engineer,"{'cv_1': 0.9386442650734075, 'cv_2': 0.9439468920005133, 'cv_3': 0.9043659978680574, 'cv_4': 0.9526332851863087, 'cv_5': 0.9053932035784032}","{'cv_1': 'web developer junior', 'cv_2': 'site reliability engineer', 'cv_3': 'software(full stack)', 'cv_4': 'full stack engineer', 'cv_5': 'machine learning engineer'}"
27,votre prochain défi professionnel chez un leader de l'industrie des systèmes emb,0.9178473412296096,0.9563767280926809,0.9354398930639535,0.9107657423740085,0.9139113041176379,full stack engineer,machine learning engineer,devops,backend engineer,machine learning engineer,cv_2,machine learning engineer,"{'cv_1': 0.9178473412296096, 'cv_2': 0.9563767280926809, 'cv_3': 0.9354398930639535, 'cv_4': 0.9107657423740085, 'cv_5': 0.9139113041176379}","{'cv_1': 'full stack engineer', 'cv_2': 'machine learning engineer', 'cv_3': 'devops', 'cv_4': 'backend engineer', 'cv_5': 'machine learning engineer'}"
28,mission passionnante pour un développeur full stack chez notre entreprise ! nous,0.8922201174953953,0.8946856190425916,0.9606980496673373,0.891127478910116,0.8691408620008929,software(full stack),site reliability engineer,frontend,data science,machine learning engineer,cv_3,frontend,"{'cv_1': 0.8922201174953953, 'cv_2': 0.8946856190425916, 'cv_3': 0.9606980496673373, 'cv_4': 0.891127478910116, 'cv_5': 0.8691408620008929}","{'cv_1': 'software(full stack)', 'cv_2': 'site reliability engineer', 'cv_3': 'frontend', 'cv_4': 'data science', 'cv_5': 'machine learning engineer'}"
29,mission passionnante pour un développeur backend expérimenté. nous recherchons u,0.9747567413029093,0.9348367649779148,0.9650790490363212,0.9279824807435895,0.9067790927150596,cloud engineer,full stack engineer,backend engineer,data science,machine learning engineer,cv_1,cloud engineer,"{'cv_1': 0.9747567413029093, 'cv_2': 0.9348367649779148, 'cv_3': 0.9650790490363212, 'cv_4': 0.9279824807435895, 'cv_5': 0.9067790927150596}","{'cv_1': 'cloud engineer', 'cv_2': 'full stack engineer', 'cv_3': 'backend engineer', 'cv_4': 'data science', 'cv_5': 'machine learning engineer'}"
30,mission passionnante pour un expert en devops et mlops chez un leader de l'indus,0.9683647799537319,0.8721624905040857,0.9479987072881796,0.9279579164922759,0.93022670144089,web developer junior,full stack engineer,cloud engineer,software(full stack),machine learning engineer,cv_1,web developer junior,"{'cv_1': 0.9683647799537319, 'cv_2': 0.8721624905040857, 'cv_3': 0.9479987072881796, 'cv_4': 0.9279579164922759, 'cv_5': 0.93022670144089}","{'cv_1': 'web developer junior', 'cv_2': 'full stack engineer', 'cv_3': 'cloud engineer', 'cv_4': 'software(full stack)', 'cv_5': 'machine learning engineer'}"
31,mission passionnante pour un ingénieur en ia et développement logiciel chez notr,0.9830683902369901,0.9224416538695662,0.9726073583869608,0.9371085035380388,0.9378390303304299,full stack engineer,data science,full stack engineer,full stack engineer,machine learning engineer,cv_1,full stack engineer,"{'cv_1': 0.9830683902369901, 'cv_2': 0.9224416538695662, 'cv_3': 0.9726073583869608, 'cv_4': 0.9371085035380388, 'cv_5': 0.9378390303304299}","{'cv_1': 'full stack engineer', 'cv_2': 'data science', 'cv_3': 'full stack engineer', 'cv_4': 'full stack engineer', 'cv_5': 'machine learning engineer'}"
32,poste stratégique en développement logiciel chez une entreprise de technologie. ,0.9269987856895736,0.9234598841837174,0.8959304340943752,0.8437895730869354,0.91229139596111,web developer junior,data analyst,site reliability engineer,full stack engineer,machine learning engineer,cv_1,web developer junior,"{'cv_1': 0.9269987856895736, 'cv_2': 0.9234598841837174, 'cv_3': 0.8959304340943752, 'cv_4': 0.8437895730869354, 'cv_5': 0.91229139596111}","{'cv_1': 'web developer junior', 'cv_2': 'data analyst', 'cv_3': 'site reliability engineer', 'cv_4': 'full stack engineer', 'cv_5': 'machine learning engineer'}"
33,mission passionnante pour un(e) approvisionneuse expérimenté(e) chez un fourniss,0.0,0.0,0.0,0.0,0.0,web developer junior,full stack engineer,cloud engineer,machine learning engineer,machine learning engineer,cv_1,web developer junior,"{'cv_1': 0.0, 'cv_2': 0.0, 'cv_3': 0.0, 'cv_4': 0.0, 'cv_5': 0.0}","{'cv_1': 'web developer junior', 'cv_2': 'full stack engineer', 'cv_3': 'cloud engineer', 'cv_4': 'machine learning engineer', 'cv_5': 'machine learning engineer'}"
34,"mission passionnante pour un étudiant en bachelor it à la plateforme, nous reche",0.9373992081242327,0.9165891503946889,0.9494464557845531,0.9447882306374604,0.8965219845376545,software(full stack),senior research scientist engineer,site reliability engineer,data analyst,machine learning engineer,cv_3,site reliability engineer,"{'cv_1': 0.9373992081242327, 'cv_2': 0.9165891503946889, 'cv_3': 0.9494464557845531, 'cv_4': 0.9447882306374604, 'cv_5': 0.8965219845376545}","{'cv_1': 'software(full stack)', 'cv_2': 'senior research scientist engineer', 'cv_3': 'site reliability engineer', 'cv_4': 'data analyst', 'cv_5': 'machine learning engineer'}"
35,mission passionnante pour un data analyst expérimenté au sein d'une équipe dynam,0.9783885929922417,0.9453924488306567,0.9453924488306567,0.0,0.924482821404064,data analyst,data science,machine learning engineer,reality solution designer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9783885929922417, 'cv_2': 0.9453924488306567, 'cv_3': 0.9453924488306567, 'cv_4': 0.0, 'cv_5': 0.924482821404064}","{'cv_1': 'data analyst', 'cv_2': 'data science', 'cv_3': 'machine learning engineer', 'cv_4': 'reality solution designer', 'cv_5': 'machine learning engineer'}"
36,mission passionnante pour un senior cybersecurity engineer expérimenté pour rejo,0.6510096036006234,0.9649085997322518,0.9309298513056888,0.0,0.9327400700547248,cyber,data analyst,site reliability engineer,network engineer,machine learning engineer,cv_2,data analyst,"{'cv_1': 0.6510096036006234, 'cv_2': 0.9649085997322518, 'cv_3': 0.9309298513056888, 'cv_4': 0.0, 'cv_5': 0.9327400700547248}","{'cv_1': 'cyber', 'cv_2': 'data analyst', 'cv_3': 'site reliability engineer', 'cv_4': 'network engineer', 'cv_5': 'machine learning engineer'}"
37,mission passionnante pour un data analyst expérimenté ! notre entreprise recherc,0.9647589511969482,0.9175166931143259,0.7993163944992572,0.9088688108435252,0.9129813557713675,data analyst,machine learning engineer,software(full stack),machine learning engineer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9647589511969482, 'cv_2': 0.9175166931143259, 'cv_3': 0.7993163944992572, 'cv_4': 0.9088688108435252, 'cv_5': 0.9129813557713675}","{'cv_1': 'data analyst', 'cv_2': 'machine learning engineer', 'cv_3': 'software(full stack)', 'cv_4': 'machine learning engineer', 'cv_5': 'machine learning engineer'}"
38,mission passionnante pour un développeur full stack expérimenté chez une entrepr,0.903071288211628,0.9675340299805445,0.9677492270604595,0.924193539564036,0.913712212610042,full stack engineer,web developer junior,full stack engineer,data analyst,machine learning engineer,cv_3,full stack engineer,"{'cv_1': 0.903071288211628, 'cv_2': 0.9675340299805445, 'cv_3': 0.9677492270604595, 'cv_4': 0.924193539564036, 'cv_5': 0.913712212610042}","{'cv_1': 'full stack engineer', 'cv_2': 'web developer junior', 'cv_3': 'full stack engineer', 'cv_4': 'data analyst', 'cv_5': 'machine learning engineer'}"
39,mission passionnante pour un ingénieur réalité virtuelle et augmentée chez notre,0.9848049808414042,0.9312034240414807,0.964239332088902,0.9205401627468711,0.8852320333285579,software(full stack),ai engineer,backend engineer,data science,full stack engineer,cv_1,software(full stack),"{'cv_1': 0.9848049808414042, 'cv_2': 0.9312034240414807, 'cv_3': 0.964239332088902, 'cv_4': 0.9205401627468711, 'cv_5': 0.8852320333285579}","{'cv_1': 'software(full stack)', 'cv_2': 'ai engineer', 'cv_3': 'backend engineer', 'cv_4': 'data science', 'cv_5': 'full stack engineer'}"
40,votre prochain défi professionnel est un poste stratégique en data science et dé,0.9825404859647175,0.954201577279361,0.944946325847879,0.8627740443107207,0.9380797789237205,web developer junior,backend engineer,data science,cyber,machine learning engineer,cv_1,web developer junior,"{'cv_1': 0.9825404859647175, 'cv_2': 0.954201577279361, 'cv_3': 0.944946325847879, 'cv_4': 0.8627740443107207, 'cv_5': 0.9380797789237205}","{'cv_1': 'web developer junior', 'cv_2': 'backend engineer', 'cv_3': 'data science', 'cv_4': 'cyber', 'cv_5': 'machine learning engineer'}"
41,mission passionnante pour un data analyst expérimenté chez notre entreprise. nou,0.9687356507054175,0.8166937692879745,0.9109844619790296,0.8186343870578683,0.9152953077098385,data analyst,site reliability engineer,senior research scientist engineer,reality solution designer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9687356507054175, 'cv_2': 0.8166937692879745, 'cv_3': 0.9109844619790296, 'cv_4': 0.8186343870578683, 'cv_5': 0.9152953077098385}","{'cv_1': 'data analyst', 'cv_2': 'site reliability engineer', 'cv_3': 'senior research scientist engineer', 'cv_4': 'reality solution designer', 'cv_5': 'machine learning engineer'}"
42,mission passionnante pour un data scientist expérimenté dans le domaine de l'app,0.9619693887071427,0.9622582287140798,0.9787836228276319,0.9548993184167791,0.8502677587625602,data science,cloud engineer,web developer junior,backend engineer,full stack engineer,cv_3,web developer junior,"{'cv_1': 0.9619693887071427, 'cv_2': 0.9622582287140798, 'cv_3': 0.9787836228276319, 'cv_4': 0.9548993184167791, 'cv_5': 0.8502677587625602}","{'cv_1': 'data science', 'cv_2': 'cloud engineer', 'cv_3': 'web developer junior', 'cv_4': 'backend engineer', 'cv_5': 'full stack engineer'}"
43,mission passionnante pour un data analyst expérimenté dans un environnement dyna,0.9692580695108766,0.883491245331196,0.917747589369586,0.8761341557734577,0.9364859395781984,machine learning engineer,frontend,full stack engineer,software(full stack),machine learning engineer,cv_1,machine learning engineer,"{'cv_1': 0.9692580695108766, 'cv_2': 0.883491245331196, 'cv_3': 0.917747589369586, 'cv_4': 0.8761341557734577, 'cv_5': 0.9364859395781984}","{'cv_1': 'machine learning engineer', 'cv_2': 'frontend', 'cv_3': 'full stack engineer', 'cv_4': 'software(full stack)', 'cv_5': 'machine learning engineer'}"
44,mission passionnante pour un expert en intelligence artificielle chez behold.ai ,0.9361323686879836,0.9330609515218536,0.8946140731664037,0.9373270670335955,0.9096138978048812,senior research scientist engineer,dev ai,full stack engineer,cloud engineer,full stack engineer,cv_4,cloud engineer,"{'cv_1': 0.9361323686879836, 'cv_2': 0.9330609515218536, 'cv_3': 0.8946140731664037, 'cv_4': 0.9373270670335955, 'cv_5': 0.9096138978048812}","{'cv_1': 'senior research scientist engineer', 'cv_2': 'dev ai', 'cv_3': 'full stack engineer', 'cv_4': 'cloud engineer', 'cv_5': 'full stack engineer'}"
45,votre prochain défi professionnel se trouve dans un environnement dynamique où l,0.9706477166127399,0.9384410312256721,0.9384410312256721,0.9328517571293787,0.8397401573175943,web developer junior,senior research scientist engineer,machine learning engineer,software(full stack),full stack engineer,cv_1,web developer junior,"{'cv_1': 0.9706477166127399, 'cv_2': 0.9384410312256721, 'cv_3': 0.9384410312256721, 'cv_4': 0.9328517571293787, 'cv_5': 0.8397401573175943}","{'cv_1': 'web developer junior', 'cv_2': 'senior research scientist engineer', 'cv_3': 'machine learning engineer', 'cv_4': 'software(full stack)', 'cv_5': 'full stack engineer'}"
46,mission passionnante pour un senior frontend developer expérimenté chez notre en,0.9277960236095986,0.8851560982903581,0.9847709054911755,0.8986696554845697,0.8613278471657703,software(full stack),data analyst,backend engineer,data science,machine learning engineer,cv_3,backend engineer,"{'cv_1': 0.9277960236095986, 'cv_2': 0.8851560982903581, 'cv_3': 0.9847709054911755, 'cv_4': 0.8986696554845697, 'cv_5': 0.8613278471657703}","{'cv_1': 'software(full stack)', 'cv_2': 'data analyst', 'cv_3': 'backend engineer', 'cv_4': 'data science', 'cv_5': 'machine learning engineer'}"
47,mission passionnante pour un data analyst en alternance ! nous recherchons un ca,0.9619062530523388,0.9019796867610724,0.9303508610149205,0.8337742950623974,0.9196856439053088,data analyst,full stack engineer,machine learning engineer,reality solution designer,machine learning engineer,cv_1,data analyst,"{'cv_1': 0.9619062530523388, 'cv_2': 0.9019796867610724, 'cv_3': 0.9303508610149205, 'cv_4': 0.8337742950623974, 'cv_5': 0.9196856439053088}","{'cv_1': 'data analyst', 'cv_2': 'full stack engineer', 'cv_3': 'machine learning engineer', 'cv_4': 'reality solution designer', 'cv_5': 'machine learning engineer'}"
