job_idx,cv_col,score_a,score_b,judge_score,reasoning,delta_a,delta_b,closer_system
11,cv_1,85,54,65,"The candidate has relevant skills in Python, SQL, and data pipeline automation, aligning with some job requirements. However, they lack explicit experience with R, Hadoop/Spark (Big Data tools), and predictive modeling, which are critical for the Data Scientist role. Their focus on reporting and dashboards suggests a more analytical than scientific profile.",20.0,11.0,B
11,cv_2,80,38,50,"The candidate has AWS cloud certifications and systems engineering experience, but lacks explicit data science skills (Python/R/SQL), predictive modeling experience, and business growth analytics mentioned in the job description. The profile partially aligns with infrastructure/cloud roles but misses core data science requirements.",30.0,12.0,B
11,cv_3,20,34,25,"The candidate's profile focuses on full-stack development (ASP.NET, Angular) with limited overlap in data science tools (only SQL mentioned). Key requirements like Python/R, Big Data technologies, and data-driven business growth experience are entirely absent. The role requires data science expertise not demonstrated here.",5.0,9.0,A
11,cv_4,85,54,70,"The candidate has strong experience in data engineering and machine learning projects, with relevant tools like Python and Airflow. However, key requirements like R, SQL, Hadoop, and Spark are missing from their skillset, and the job emphasizes statistical expertise which isn't explicitly demonstrated. Partial match with critical gaps.",15.0,16.0,A
11,cv_5,80,54,70,"The candidate has strong machine learning and deep learning experience, particularly in geometric deep learning projects. However, the CV lacks explicit mention of R, SQL, and Big Data tools (Hadoop/Spark) emphasized in the job description. While Python is present, the absence of statistical analysis and business growth-focused data projects reduces the match score.",10.0,16.0,A
12,cv_1,40,50,50,"The candidate has relevant AI experience and software development skills, but lacks explicit mention of embedded systems, firmware development, or low-power optimization required for Edge AI. The CV shows partial alignment with the job's technical requirements.",10.0,0.0,B
12,cv_2,60,40,50,"The candidate has strong data science and Python skills relevant to AI, but lacks explicit experience in Edge AI, embedded systems, or firmware development required by the job. Certifications and consulting roles align partially but miss critical hardware/software integration expertise.",10.0,10.0,tie
12,cv_3,80,39,50,"The candidate has relevant DevOps and QA experience with tools like Docker and Python, but lacks explicit expertise in Edge AI, embedded systems design, firmware development, or low-power AI optimization required by the job. Core requirements like hardware-software integration and AI system implementation are unmet.",30.0,11.0,B
12,cv_4,60,45,50,"The candidate has creative and design experience in AR/XR and spatial design, which partially aligns with the job's focus on embedded systems and AI. However, there is no mention of Edge AI, firmware development, or low-power system optimization—core requirements for the role. The profile lacks technical depth in hardware/software integration and AI implementation, leading to a partial match.",10.0,5.0,B
12,cv_5,80,45,60,"The candidate has strong deep learning and machine learning experience, particularly in geometric deep learning and medical imaging projects. However, the CV lacks explicit mention of embedded systems, edge AI, firmware development, or low-power optimization—core requirements in the job description. The partial match stems from overlapping ML skills but missing hardware/systems expertise.",20.0,15.0,B
13,cv_1,80,40,55,"The candidate has relevant full-stack development experience and familiarity with agile methodologies, but lacks explicit mention of PHP, WordPress/Drupal, and Stripe—key technical requirements in the job description. Partial alignment with JavaScript and SQL is present, but critical stack components are missing.",25.0,15.0,B
13,cv_2,80,59,50,"The candidate has experience in interactive systems and game development, which partially aligns with UI/UX aspects. However, the CV lacks explicit mention of required web technologies (PHP, WordPress, Drupal) and backend skills (SQL, Stripe) specified in the job description. The technical stack mismatch is critical for this role.",30.0,9.0,B
13,cv_3,85,39,50,"The candidate has full-stack development experience and skills in Angular, React, and Spring Boot, which partially align with the job's front-end requirements. However, the job specifically requires PHP, WordPress/Drupal, and Stripe—technologies not mentioned in the CV. The lack of direct experience with the required stack reduces the match score to a partial alignment.",35.0,11.0,B
13,cv_4,20,33,25,"The candidate's CV lacks any mention of web development skills (HTML5, PHP, JavaScript, WordPress, etc.) required for the role. While he has programming experience (Matlab) and certifications in telecom systems, these are unrelated to the job's technical stack. His academic awards don't compensate for the missing core competencies.",5.0,8.0,A
13,cv_5,40,28,50,"The candidate has strong machine learning and deep learning expertise but lacks explicit web development skills (PHP, WordPress, Drupal) required by the job. While JavaScript (via NestJS) is partially aligned, the core stack mismatch limits the match to partial alignment.",10.0,22.0,A
14,cv_1,85,50,75,"The candidate has strong cloud and DevOps experience with Azure, Kubernetes, and CI/CD, aligning with key requirements. However, the CV lacks explicit mention of AWS, Jenkins, and GitLab (specific tools mentioned in the job), and the VMware focus may not fully match AWS/Azure emphasis. Senior-level experience is implied but not explicitly stated.",10.0,25.0,A
14,cv_2,20,37,25,"The candidate has full-stack development experience but lacks explicit DevOps skills (cloud infrastructure, CI/CD pipelines, Kubernetes, Ansible) required for the Senior DevOps Engineer role. The CV emphasizes web development (MERN, Angular, Spring Boot) rather than infrastructure automation, security, or monitoring tools mentioned in the job description.",5.0,12.0,A
14,cv_3,20,36,20,"The candidate has 11 years of frontend development experience but lacks explicit DevOps, cloud infrastructure (AWS/Azure), or CI/CD tooling (Kubernetes, Jenkins) expertise required for the role. Their certifications and GitHub activity focus on frontend frameworks, not infrastructure automation or security monitoring.",0.0,16.0,A
14,cv_4,20,33,20,"The candidate's profile is focused on data analysis with skills in Python, Hadoop, and Spark, but lacks critical DevOps competencies like cloud infrastructure (AWS/Azure), CI/CD pipelines, or containerization tools (Kubernetes, Ansible) required for the senior role. No relevant DevOps experience is demonstrated.",0.0,13.0,A
14,cv_5,80,38,50,"The candidate has a top skill listed as DevOps but lacks explicit experience with AWS/Azure, Kubernetes, Jenkins, or Ansible—core requirements for the role. Their experience focuses on machine learning and geometric deep learning projects, which are unrelated to DevOps infrastructure or CI/CD pipelines. Partial alignment exists in GitLab usage and DevOps mention, but critical technical gaps remain.",30.0,12.0,B
15,cv_1,85,39,65,"The candidate has relevant full-stack experience with Java, React, NodeJS, and Express, which aligns with several key requirements. However, critical technologies like Go, Python, PostgreSQL, MongoDB, and Django are missing from their profile. The DevOps and cloud certifications add value but don't compensate for the absence of core backend/database technologies explicitly requested.",20.0,26.0,A
15,cv_2,85,39,50,"The candidate has full-stack experience and Java/Angular skills, but lacks critical required technologies like NodeJS, Express, React, Python, Go, and MongoDB. The CV mentions Vue3 and Spring instead of the specified stack, creating a partial match with key requirements missing.",35.0,11.0,B
15,cv_3,85,40,50,"The candidate has Python/Django experience and Git knowledge, which partially align with the job's requirements. However, critical skills like JavaScript, React, NodeJS, and specific databases (PostgreSQL/MongoDB) are missing. The CV lacks evidence of full-stack capabilities in the required tech stack.",35.0,10.0,B
15,cv_4,20,34,25,"The candidate's profile is focused on telecommunications and electrical engineering, with no mention of the required software development skills (Java, JavaScript, NodeJS, React, etc.) or full-stack development experience. While they have technical project management and troubleshooting skills, these do not align with the job's core requirements for web application development and database management.",5.0,9.0,A
15,cv_5,85,36,50,"The candidate has Python experience and machine learning expertise, which partially aligns with the job's Python requirement. However, critical full-stack skills like JavaScript, NodeJS, React, PostgreSQL, and MongoDB are entirely absent. The CV emphasizes deep learning and DevOps rather than the core web development stack requested.",35.0,14.0,B
16,cv_1,85,42,70,"The candidate has strong data analysis experience with Power BI, Python, SQL, and dashboard creation, aligning with core job requirements. However, the CV lacks explicit mention of SSRS, SSMS, and SSIS (critical tools listed in the job description), which reduces the match score. Overall, the profile is a partial match with missing key technical skills.",15.0,28.0,A
16,cv_2,20,24,22,"The candidate's profile focuses on telecommunications and electrical engineering with no mention of data analysis tools (Power BI, SSRS, etc.) or analytical experience required for the role. While they have project coordination skills, the core technical requirements for a Data Analyst position are entirely missing.",2.0,2.0,tie
16,cv_3,20,44,30,"The candidate has a background in telecommunications and electrical engineering with project coordination experience, which partially aligns with the job's need for cross-departmental collaboration. However, they lack critical data analysis skills (Power BI, SSRS, SSMS, SSIS) and KPI monitoring expertise explicitly required in the role. Their technical focus on network troubleshooting and 4G/5G implementation is unrelated to the data analysis responsibilities outlined.",10.0,14.0,A
16,cv_4,80,33,50,"The candidate has relevant SQL skills and data-related experience but lacks explicit mention of Power BI, SSRS, SSMS, and SSIS required by the job. Their focus on machine learning and NLP aligns partially with data analysis but misses core responsibilities like dashboard creation and KPI monitoring emphasized in the role.",30.0,17.0,B
16,cv_5,80,22,50,"The candidate has strong machine learning and data analysis experience but lacks explicit mention of required tools like Power BI, SSRS, SSMS, and SSIS. The role emphasizes dashboard creation and cross-departmental collaboration, which are not clearly addressed in the CV. Partial alignment with core data analysis skills but missing key technical requirements.",30.0,28.0,B
17,cv_1,85,32,50,"The candidate has relevant experience in DevOps and tools like Terraform, Docker, and GitHub Actions, which align partially with the job requirements. However, critical technologies like Kubernetes, AWS, Prometheus, and Grafana are missing from his skillset, and he uses Microsoft Azure instead of AWS, which is specified in the job description. This creates a partial match with key requirements unmet.",35.0,18.0,B
17,cv_2,80,38,55,"The candidate has relevant DevOps experience and skills in Terraform and Python, which align partially with the job's requirements. However, critical technologies like Kubernetes, AWS, Docker, Prometheus, and Grafana are missing from her profile, which are explicitly listed in the job description. Her experience duration is sufficient, but the lack of key tools reduces the match score.",25.0,17.0,B
17,cv_3,40,38,45,"The candidate has backend development experience and some relevant tools like Git, but lacks explicit mention of critical DevOps technologies (Kubernetes, Terraform, AWS) and responsibilities (CI/CD pipelines, infrastructure automation) required in the job description. The partial overlap in tooling and software development passion earns a mid-range score.",5.0,7.0,A
17,cv_4,40,26,50,"The candidate has strong AI/ML expertise but lacks explicit DevOps skills like Kubernetes, Terraform, or AWS mentioned in the job. Partial overlap in cloud tools and Python frameworks exists, but core DevOps requirements are unmet.",10.0,24.0,A
17,cv_5,80,34,50,"The candidate has a DevOps skill listed but lacks explicit experience with Kubernetes, Terraform, AWS, or CI/CD pipeline implementation mentioned in the job description. Their experience focuses on machine learning research rather than DevOps operations, though they show technical proficiency in related areas.",30.0,16.0,B
18,cv_1,70,56,50,"The candidate has full-stack development experience and Agile methodology knowledge, which aligns partially with the job requirements. However, critical requirements like PHP/Symfony, Docker, MySQL/PostgreSQL, and Doctrine are missing from the CV, while Node.js is emphasized instead. The Oracle experience adds credibility but doesn't compensate for the core tech stack mismatch.",20.0,6.0,B
18,cv_2,85,42,55,"The candidate has strong DevOps and cloud infrastructure experience with Kubernetes/OpenShift and Red Hat certifications, which partially align with the job's DevOps requirements. However, the CV lacks explicit mention of PHP, Symfony, MySQL/PostgreSQL, and front-end development skills required for the full-stack developer role. The core back-end technologies specified in the job description are missing, resulting in a partial match.",30.0,13.0,B
18,cv_3,20,50,30,"The candidate has strong ML/data science experience and digital leadership roles but lacks explicit skills in PHP, Symfony, Docker, or web development frameworks required for the full-stack developer role. Agile and GitLab/GitHub experience may partially align, but core technical requirements are unmet.",10.0,20.0,A
18,cv_4,85,54,45,"The candidate has strong data science and Python-based backend skills (FastAPI, Flask) but lacks the required PHP/Symfony stack, Docker, and Doctrine experience explicitly mentioned in the job description. While Git/GitHub proficiency is present, core full-stack development requirements for this role are not met.",40.0,9.0,B
18,cv_5,80,34,50,"The candidate has relevant DevOps skills and Docker experience, aligning partially with the job's requirements. However, critical requirements like PHP, Symfony, MySQL/PostgreSQL, and Doctrine are missing from the CV, and there's no explicit mention of full-stack development or GitLab/GitHub experience. The focus on machine learning and deep learning is unrelated to the core web development needs of the role.",30.0,16.0,B
19,cv_1,85,33,65,"The candidate has relevant skills in Java, microservices, and DevOps tools like Docker and Jenkins, aligning with key requirements. However, missing critical elements like Groovy, Azure cloud expertise, and specific security tools (Veracode, BlackDuck) reduce the match. The CV lacks explicit mention of team leadership and complex project coordination experience.",20.0,32.0,A
19,cv_2,85,37,50,"The candidate has full-stack development experience and Agile methodologies, which partially align with the job. However, critical requirements like senior DevOps expertise (Jenkins, Docker), AI experience, and cloud technologies (Azure) are missing. The role demands senior-level skills in these areas, which the CV does not demonstrate.",35.0,13.0,B
19,cv_3,80,37,50,"The candidate has relevant skills in Python, microservices, and data science, but lacks explicit experience with Java, Groovy, Docker, Jenkins, Ansible, and Azure required by the job. The role emphasizes DevOps and software engineering leadership, which are only partially addressed in the CV.",30.0,13.0,B
19,cv_4,20,31,25,"The candidate's profile focuses on mechanical engineering, robotics, and product design with no mention of software development, AI, or DevOps expertise required by the job. While some technical skills overlap (e.g., robotics), core requirements like Python/Java/Groovy, Docker, Jenkins, and cloud technologies are entirely absent.",5.0,6.0,A
19,cv_5,85,37,50,"The candidate has relevant AI/ML experience and DevOps skills (Docker, Jenkins), but lacks explicit Java/Groovy proficiency, cloud (Azure) experience, and team leadership mentioned in the job requirements. The CV focuses heavily on machine learning projects rather than full-stack software development or DevOps toolchain mastery.",35.0,13.0,B
20,cv_1,85,45,70,"The candidate has strong full-stack experience with relevant frameworks like React, Angular, and Tailwind CSS, but lacks explicit mention of Next.js and TypeScript required in the job description. UI/UX skills are present, aligning partially with the role's needs.",15.0,25.0,A
20,cv_2,85,45,70,"The candidate has strong full-stack experience with Angular and Java Spring Boot, aligning with the job's general full-stack requirement. However, the job specifically mentions Next.js, TypeScript, and Tailwind CSS, which are not explicitly listed in the CV. The absence of these key technologies reduces the match score despite relevant UI/UX collaboration experience.",15.0,25.0,A
20,cv_3,20,41,15,"The candidate has a DevOps/cloud engineering background with no mention of full-stack web development skills (Next.js, TypeScript, Tailwind CSS) or UI/UX experience required for the role. Their expertise in Azure/CI/CD is unrelated to the core job requirements.",5.0,26.0,A
20,cv_4,20,36,25,"The candidate has a strong data science background with Python and machine learning, but lacks explicit experience or skills in full-stack web development technologies like Next.js, TypeScript, or Tailwind CSS required by the job. Their professional experience aligns more with data science than web development, making them a poor fit for this specific role.",5.0,11.0,A
20,cv_5,20,38,30,"The candidate has strong machine learning expertise and NestJS experience, but lacks explicit Next.js, Tailwind CSS, and UI/UX design skills required for the full-stack web developer role. Their background is research-focused rather than web development-focused, creating a partial match.",10.0,8.0,B
21,cv_1,60,29,50,"The candidate has relevant software development experience and agile methodology knowledge, but lacks explicit expertise in systems, networks, and security required for the Site Trust Engineer role. The CV emphasizes web development and teamwork but doesn't address critical infrastructure or security competencies.",10.0,21.0,A
21,cv_2,85,36,70,"The candidate has strong DevOps/SRE certifications (CKA, CKAD, LFS162) and experience in infrastructure as code, aligning with site reliability requirements. However, the CV lacks explicit network expertise and detailed security experience beyond DevSecOps, which are critical in the job description. The 6-year experience duration supports mid-level qualifications.",15.0,34.0,A
21,cv_3,80,32,55,"The candidate has relevant DevOps and cloud experience with Jenkins/Ansible, but lacks explicit mention of systems reliability, network security, and performance optimization required for the role. Their background is more software-focused than infrastructure/security-centric.",25.0,23.0,B
21,cv_4,80,33,50,"The candidate has strong machine learning and AI expertise but lacks explicit experience in systems engineering, network management, and security operations required for the Site Trust Engineer role. The DevOps certification and collaboration skills partially align, but core technical requirements are unmet.",30.0,17.0,B
21,cv_5,80,28,50,"The candidate has strong machine learning and deep learning experience but lacks explicit mention of systems, networks, and security expertise required for the Site Trust Engineer role. Their technical skills align partially with the job's problem-solving and development aspects, but core infrastructure and operational requirements are missing.",30.0,22.0,B
22,cv_1,85,57,65,"The candidate has relevant cloud experience with Azure, AWS, and GCP, along with DevOps tools like Terraform and Kubernetes. However, the CV lacks explicit mention of .Net, Microsoft ecosystem depth, and specific DevSecOps/security pipeline expertise required. Partial alignment with core job requirements.",20.0,8.0,B
22,cv_2,80,27,50,"The candidate has relevant DevOps and Terraform experience, but lacks explicit Azure/.Net/Microsoft ecosystem expertise required. Security practices in pipelines/containers and cloud-native architecture specifics are not clearly demonstrated.",30.0,23.0,B
22,cv_3,20,30,25,"The candidate has some DevOps and cloud computing experience but lacks explicit Azure, DevSecOps, and Terraform skills required. The CV emphasizes backend development and CMS specialization rather than cloud architecture or infrastructure-as-code expertise.",5.0,5.0,tie
22,cv_4,85,42,50,"The candidate has full-stack development experience with MERN stack and TypeScript, but lacks explicit Azure, DevSecOps, Terraform, or cloud-native architecture skills required by the job. The profile partially aligns with infrastructure concepts but misses critical technical requirements.",35.0,8.0,B
22,cv_5,20,55,25,"The candidate's profile focuses on machine learning and deep learning projects with minimal mention of cloud architecture, Azure, DevSecOps, or Terraform. While 'DevOps' is listed, there's no evidence of infrastructure-as-code or cloud security expertise required by the job. The mismatch in core technical requirements justifies a low score.",5.0,30.0,A
23,cv_1,80,38,50,"The candidate has strong frontend skills in JavaScript, React, and Redux, which partially align with the job's requirements. However, critical backend technologies like PHP7+, Laravel, Symfony, and Magento 2 migration experience are missing from the CV. The role requires a broader full-stack expertise not fully demonstrated here.",30.0,12.0,B
23,cv_2,85,31,50,"The candidate has full-stack experience with Java/Spring and Angular, but lacks critical skills like PHP7+, Magento 2, Laravel/Symfony, and PWA/Strapi CMS required for the role. Their Java expertise aligns partially, but key technology stack mismatches prevent a higher score.",35.0,19.0,B
23,cv_3,80,40,50,"The candidate has strong programming skills and experience with Java/Spring, but lacks critical full-stack web development expertise required (Magento, NextJs, Laravel, Symfony, PHP, etc.). Teaching experience doesn't align with the technical requirements. Partial match on general software engineering skills but misses key job-specific technologies.",30.0,10.0,B
29,cv_1,85,44,65,"The candidate has strong CI/CD, cloud (Azure/AWS), and infrastructure automation skills (Kubernetes, Terraform) matching key requirements. However, the job emphasizes PHP/Symfony backend development which is not mentioned in the CV. The candidate's focus appears more on cloud infrastructure than backend application development.",20.0,21.0,A
29,cv_2,80,45,50,"The candidate has backend experience with Java, Kafka, and DataDog, but lacks critical skills like PHP, Symfony, and cloud platforms (AWS, Azure AKS) explicitly required in the job description. While they demonstrate full-stack capabilities, the absence of key technologies listed in the role's technical requirements prevents a higher score.",30.0,5.0,B
29,cv_3,85,45,50,"The candidate has backend development experience and familiarity with CI/CD tools (Jenkins, Git), but lacks explicit PHP/Symfony expertise required by the job. While they work with Java/Spring and cloud platforms, the core tech stack mismatch (PHP/Symfony/Doctrine) prevents a higher score.",35.0,5.0,B
29,cv_4,20,31,25,"The candidate's profile focuses on data/AI consulting with SAS, Python, and React, but lacks explicit experience with required backend technologies like PHP, Symfony, Docker, or Kubernetes. While some cloud experience (Azure) is present, core backend development skills and tools specified in the job description are missing.",5.0,6.0,A
29,cv_5,20,42,50,"The candidate has relevant DevOps skills (Docker, Kubernetes) and cloud experience (AWS, Azure), but lacks the core backend development expertise (PHP, Symfony, Doctrine) explicitly required in the job description. Their focus on machine learning and deep learning is unrelated to the backend engineering role.",30.0,8.0,B
30,cv_1,60,38,50,"The candidate has foundational DevOps skills (Docker, GitLab CI/CD, Linux) and ML certifications, but lacks explicit experience with Kubernetes, Jenkins, and production infrastructure management required in the job. As a student, their professional experience in MLOps/data architecture is unproven.",10.0,12.0,A
30,cv_2,20,38,25,"The candidate's profile focuses on full-stack development (React.js, Spring Boot) with no mention of DevOps/MLOps tools (Docker, Kubernetes, Jenkins) or ML infrastructure experience required by the job. While they have technical education, the absence of relevant operational skills and production environment management experience significantly reduces alignment.",5.0,13.0,A
30,cv_3,85,55,75,"The candidate has strong AWS, Linux, Docker, and Jenkins experience aligning with core DevOps requirements. However, the CV lacks explicit mention of Kubernetes (critical for MLOps) and ML model deployment pipelines, which are explicitly required in the job description. The absence of monitoring/security tool specifics also creates a partial mismatch.",10.0,20.0,A
30,cv_4,40,38,35,"The candidate has strong full-stack development experience with Java/Spring and React, but lacks explicit DevOps/MLOps skills required by the job (Docker, Kubernetes, Jenkins, AWS, ML deployment pipelines). The role emphasizes infrastructure management and ML operations, which are not addressed in the CV.",5.0,3.0,B
30,cv_5,85,41,55,"The candidate has strong machine learning experience and mentions DevOps as a top skill, but lacks explicit evidence of hands-on experience with critical DevOps/MLOps tools (Docker, Kubernetes, Jenkins, AWS) and infrastructure management required by the job. The CV focuses on academic projects and ML engineering rather than production deployment or environment management.",30.0,14.0,B
31,cv_1,85,50,70,"The candidate has strong AI/ML experience, cloud-native development skills, and relevant certifications aligning with the job's AI focus. However, the CV lacks explicit mentions of key required technologies like LangChain, spaCy, and SurrealDB, which are critical for the role. The MCP protocol and FastAPI/Docker are covered, but partial gaps in the tech stack reduce the score.",15.0,20.0,A
31,cv_2,80,40,60,"The candidate has relevant experience in FastAPI, Python, and data science, aligning with backend development needs. However, the CV lacks explicit mention of critical requirements like MCP protocol, SurrealDB, LangChain, spaCy, frontend development, and AI agent architecture. The partial match justifies a mid-range score.",20.0,20.0,tie
31,cv_3,80,39,50,"The candidate has full-stack development experience and skills in Java/Angular, which partially align with the job's software engineering requirements. However, the CV lacks explicit mention of AI-specific technologies (FastAPI, Docker, SurrealDB, LangChain, spaCy, MCP) and AI agent architecture, which are critical to the role. The candidate's profile shows general software engineering competence but misses key AI and backend tech stack requirements.",30.0,11.0,B
31,cv_4,70,26,50,"The candidate has backend development experience with REST APIs and full-stack skills, but lacks specific AI/ML frameworks (LangChain, spaCy) and tools (FastAPI, Docker, SurrealDB) required in the job. The SAP and Java focus diverges from the Python-centric AI stack emphasized in the description.",20.0,24.0,A
31,cv_5,85,27,50,"The candidate has strong AI/ML experience (e.g., Deep Learning, Geometric Deep Learning projects) and Python skills, aligning with the AI portion of the role. However, the job requires specific backend/frontend development expertise (FastAPI, Docker, SurrealDB, LangChain, spaCy) and MCP protocol agent architecture, which are not addressed in the CV. The candidate lacks explicit experience with these technologies, making the match partial.",35.0,23.0,B
32,cv_1,40,36,50,"The candidate has relevant skills in full-stack development and Agile methodologies (Scrum), which align with some job requirements. However, the CV lacks explicit mention of Java, CI/CD pipeline experience, and monitoring tools—key technical requirements in the job description. The candidate's academic status and limited professional experience further reduce the match.",10.0,14.0,A
32,cv_2,70,66,50,"The candidate has relevant data analysis experience and collaboration skills, but lacks critical software development expertise required (Java, CI/CD pipelines, software design principles). Certifications and skills align partially with business requirements but not technical implementation aspects.",20.0,16.0,B
32,cv_3,85,45,50,"The candidate has relevant cloud/DevOps experience and CI/CD skills, but lacks explicit Java development experience and software design principles mentioned in the job requirements. The Agile methodology and core software engineering focus are not clearly demonstrated.",35.0,5.0,B
32,cv_4,85,50,50,"The candidate has relevant full-stack development experience and skills in REST APIs/SQL, but lacks explicit Java experience and CI/CD pipeline implementation mentioned in the job requirements. The absence of Java (core requirement) and monitoring tools creates a significant mismatch despite other competencies.",35.0,0.0,B
32,cv_5,85,47,55,"The candidate has relevant DevOps skills and experience with CI/CD pipelines, which align with some job requirements. However, the CV lacks explicit Java experience, software design principles, and Agile methodology details critical for the role. The focus on machine learning and deep learning projects is impressive but not directly aligned with the software engineering position.",30.0,8.0,B
33,cv_1,20,10,15,"The candidate's profile is focused on software engineering and web development, with no relevant experience in procurement, ERP systems (like SAP), or supply chain management required for the role. While soft skills like teamwork are mentioned, the lack of critical technical and operational expertise makes the match very weak.",5.0,5.0,tie
33,cv_2,20,33,0,"The candidate's profile is entirely unrelated to procurement or supply chain management. They have no experience with ERP systems (SAP, MFGPRO, etc.), procurement processes, or the specific tools mentioned in the job description. Their skills are focused on software development (Java, Vue.js, Docker), which does not align with the operational and analytical requirements of the role.",20.0,33.0,A
33,cv_3,20,27,10,"The candidate's profile is entirely misaligned with the job requirements. The role demands procurement expertise, ERP (SAP) proficiency, and supply chain management skills, while the CV highlights cloud engineering, DevOps, and software development experience with no relevant ERP or procurement background.",10.0,17.0,A
33,cv_4,20,36,15,"The candidate's profile is entirely misaligned with the job requirements. The role demands procurement expertise, ERP system knowledge (SAP, MFGPRO, etc.), and supply chain operations, while the CV highlights AI/ML engineering skills, data science certifications, and unrelated technical tools. No relevant experience or competencies for the agro-food procurement position are present.",5.0,21.0,A
33,cv_5,20,23,20,"The candidate's profile is entirely misaligned with the job requirements. They have no procurement experience, ERP system knowledge (SAP/MFGPRO), or familiarity with supply chain tools (BL/AR management). Their expertise in machine learning and software engineering is irrelevant to the purchasing role.",0.0,3.0,A
34,cv_1,40,40,50,"The candidate has relevant Python skills and a Cybersecurity Essentials certification, aligning partially with the role. However, the CV lacks explicit mention of Cisco Packet Tracer, Linux command line expertise, and network security project experience required in the job description.",10.0,10.0,tie
34,cv_2,20,43,40,"The candidate has strong Python skills and machine learning experience, which partially align with the job's technical requirements. However, critical areas like Cisco Packet Tracer, Linux command line expertise, and cybersecurity-specific projects (e.g., password encryption tools) are missing from the CV. The focus on data science rather than network security creates a significant mismatch.",20.0,3.0,B
