job_idx,cv_col,label,score,label_checked,justification,model,generated_at
2,cv_1,MATCH,80,MATCH,"La candidate, Safa Chaabane, possède une expérience de 2 ans en développement web et une expertise dans les technologies telles que Angular, React, Express, Flutter, WordPress, TailwindCSS, MUI, Bootstrap. Elle a également une bonne compréhension des bases de données relationnelles et NoSQL. La candidate est polyvalente et a travaillé sur une multitude de projets, ce qui lui a permis d'approfondir ses compétences techniques et de reconnaître l'importance d'une approche collaborative au sein d'une équipe. Cependant, il faudrait vérifier si la candidate a une bonne maîtrise des compétences techniques telles que Spring, Symfony, Java, Python, MySQL, MongoDB, Git, Docker, Kubernetes, et AWS, qui sont mentionnées dans l'offre d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:35.995702
2,cv_2,MATCH,85,MATCH,"Le candidat Ahmed Bouchiba possède une expérience significative en développement logiciel, notamment en tant que DevOps et SRE. Il a une bonne compréhension des technologies telles que Kubernetes, Docker, GitOps, Go, Python, et FastAPI, qui sont mentionnées dans l'offre d'emploi. De plus, il a une expérience en conception et développement de microservices, ce qui est un aspect clé de l'offre d'emploi. Cependant, il n'a pas d'expérience directe en développement full-stack avec des technologies telles que HTML, CSS, PHP, Java, et Python, qui sont mentionnées dans l'offre d'emploi. Il est également important de noter que le candidat a une expérience en développement mobile avec Flutter, mais ce n'est pas une technologie mentionnée dans l'offre d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:38.753985
2,cv_3,MATCH,85,MATCH,"Le candidat a une expérience significative en développement full-stack, notamment en Python, Django, FastAPI, et SQLAlchemy. Il a également une bonne compréhension des bases de données relationnelles et NoSQL, notamment MySQL et MongoDB. Les compétences techniques mentionnées dans le CV correspondent à environ 80% des compétences requises dans l'offre d'emploi. Le candidat a également une bonne compréhension des méthodes de développement Agile et des outils de versionning tels que Git. Cependant, il manque d'expérience en matière de développement mobile et de frameworks tels que Spring, Symfony, et Angular. En outre, il n'a pas mentionné d'expérience en matière de monitoring et de logging tels que Prometheus et Grafana.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:41.305781
2,cv_4,NO MATCH,40,NO MATCH,"Le candidat a une expérience en développement d'algorithmes d'intelligence artificielle, mais pas en développement full-stack avec des technologies telles que HTML, CSS, PHP, Java, Python, Spring, Symfony, et Angular. Il a également une expérience en data science et en machine learning, mais pas en développement web et mobile. De plus, il n'a pas mentionné d'expérience en bases de données relationnelles et NoSQL, ce qui est un critère important pour ce poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:47.083607
2,cv_5,MATCH,80,MATCH,"Le candidat a une expérience en machine learning et en deep learning, mais pas directement en développement full-stack. Cependant, il a des compétences en DevOps et en Deep Learning qui peuvent être transférées à un poste de développement full-stack. Il a également une excellente maîtrise des compétences techniques telles que Java, Python, Git, Docker, Kubernetes et AWS, qui sont mentionnées dans l'offre d'emploi. Cependant, il manque d'expérience directe dans les frameworks tels que Spring, Symfony, et Angular, ainsi que dans les bases de données relationnelles et NoSQL.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:49.837827
3,cv_1,MATCH,85,MATCH,"Le candidat Mustafa Çiçek possède une expérience significative en développement d'applications intelligentes, en particulier en génie artificiel (AI) et en machine learning. Il a travaillé sur des projets impliquant la conception et la mise en œuvre d'architectures de systèmes AI, l'intégration de modèles de machine learning et de traitement du langage naturel, ainsi que la mise en place de pipelines de données pour alimenter ces modèles. Il a également une bonne connaissance des frameworks tels que FastAPI, TensorFlow, et PyTorch, ainsi que des compétences en analyse de données et en développement de modèles de machine learning. De plus, il a une expérience en leadership et en mentorat, ce qui est important pour un poste de responsable de développement d'applications intelligentes.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:52.640702
3,cv_2,MATCH,85,MATCH,"Le candidat a une expérience significative en développement de systèmes distribués et cloud-natives, ce qui correspond à la mission de l'offre d'emploi. Il a également une bonne connaissance des frameworks tels que Go, Python, C++, Java, et des compétences en analyse de données et en développement de modèles de machine learning. De plus, il a une expérience en MLOps et en intégration d'OpenAI Whisper, ce qui correspond à la demande de l'offre d'emploi. Cependant, il n'a pas explicitement mentionné une expérience en traitement du langage naturel ou en pipelines de données, mais cela peut être considéré comme une compétence connexe. Enfin, il a une bonne connaissance des langages de programmation et des frameworks requis par l'offre d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:55.060695
3,cv_3,MATCH,80,MATCH,"Le candidat a une expérience en développement full-stack et a travaillé avec des frameworks tels que Next.js, React.js et Spring Boot, qui sont pertinents pour le poste d'AI Engineer. Cependant, il manque d'expérience directe dans le développement d'applications AI et les compétences en machine learning. Il a également une bonne connaissance des langages de programmation tels que Python, Java et JavaScript, qui sont requis pour le poste. Enfin, il a des compétences en communication et en travail d'équipe, qui sont essentielles pour un poste dans une équipe agile.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:57.023407
3,cv_4,MATCH,80,MATCH,"Le candidat Farah Romdhane a une expérience significative en développement de logiciels, notamment en tant que développeur full-stack avec des compétences en React, Symfony, Git et autres. Les compétences techniques requises pour l'offre d'emploi, telles que Python, Java, JavaScript, TypeScript, MATLAB, React, Angular, Laravel, PHP, sont partiellement présentes dans le CV. Cependant, il manque des compétences spécifiques en intelligence artificielle, tels que TensorFlow, PyTorch et des connaissances en bases de données MySQL, MongoDB, et SQL. Malgré cela, la candidature de Farah Romdhane est pertinente en raison de son expérience en développement de logiciels et de sa capacité à apprendre et à s'adapter à de nouvelles technologies.",meta/llama-3.1-8b-instruct,2026-05-05T11:52:59.993491
3,cv_5,NO MATCH,40,NO MATCH,"Le candidat a une expérience en développement full-stack, mais pas en développement d'applications AI. Il a des compétences en React.js, D3.js et Elasticsearch, mais pas en frameworks tels que FastAPI, TensorFlow, et PyTorch. Il a également des compétences en bases de données, mais pas en bases de données spécifiques telles que MySQL, MongoDB et SQL. Il est donc peu probable qu'il soit adapté à ce poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:03.103671
4,cv_1,MATCH,85,MATCH,"Le candidat possède les compétences requises pour le poste, notamment en Azure, DevOps, CI/CD, Kubernetes, etc. Il a également une expérience similaire en tant qu'ingénieur cloud et logiciel chez 3S Standard Sharing Software. Les qualifications académiques du candidat sont également pertinentes pour le poste. Cependant, il convient de noter que le candidat a une expérience limitée en tant qu'ingénieur cloud et logiciel, avec seulement 2 ans d'expérience dans ce domaine.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:04.648616
4,cv_2,MATCH,80,MATCH,"Le candidat possède une expérience en développement full-stack avec des technologies telles que Java, Spring Boot, Angular, etc. Il a également travaillé sur des projets impliquant la sécurité, la gestion des utilisateurs et la conception de diagrammes de classes. Cependant, il n'a pas d'expérience directe en DevOps et en cloud computing, ce qui est un aspect clé de l'offre d'emploi. Il faudrait donc évaluer s'il est possible de développer ces compétences en interne ou si des formations supplémentaires sont nécessaires.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:07.762450
4,cv_3,NO MATCH,20,NO MATCH,"Le candidat n'a pas les compétences requises pour le poste d'Ingénieur Cloud & DevOps. Il a des expériences dans le domaine de l'analyse de données, de la business intelligence et de la consultation, mais il n'a pas de compétences spécifiques dans le domaine de la cloud computing et de la DevOps. De plus, son CV met en avant ses compétences en statistiques, en conservation des données et en résolution de problèmes, mais il n'a pas de compétences en architecture applicative, en développement de solutions cloud natives, en écosystème Microsoft, en .Net, etc.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:12.376988
4,cv_4,MATCH,80,MATCH,"Le candidat possède une expérience en tant que Full-Stack Engineer, avec des compétences en React, Node.js, TypeScript, MongoDB, Express, et DevOps. Il a également une expérience en leadership, en tant que mentor et en gestion de projet agile. L'offre d'emploi recherche un Ingénieur Cloud & DevOps, qui doit avoir des compétences en Azure, DevSecOps, Architecture Applicative, et écosystème Microsoft. Bien que le candidat n'ait pas explicitement mentionné ces compétences, il a mentionné des compétences en DevOps et en sécurité, qui sont liées. De plus, le candidat est prêt à travailler dans un environnement international, ce qui correspond à la demande de l'offre d'emploi. Cependant, il faudrait vérifier les détails de l'expérience et des compétences du candidat pour confirmer la compatibilité.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:16.031213
4,cv_5,MATCH,80,MATCH,"Le candidat a une expérience en DevOps (Top Skills) et a travaillé sur des projets de Deep Learning, ce qui est proche de la conception et de la mise en œuvre de solutions de sécurité et de DevOps mentionnées dans l'offre d'emploi. Cependant, il manque une expérience directe dans le domaine du cloud et de la migration vers le cloud Azure, qui est un aspect clé de l'offre d'emploi. De plus, le candidat a une formation en ingénierie des systèmes et des réseaux, ce qui est pertinent pour le rôle d'Ingénieur Cloud & DevOps.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:20.264765
5,cv_1,MATCH,85,MATCH,"Le candidat Anas Attia possède les compétences requises pour le poste de Data Analyst, notamment en analyse et visualisation de données, en SQL et Python, ainsi qu'en Power BI. Il a également une expérience dans la gestion de pipelines de données et la création de dashboards interactifs. Ses expériences professionnelles, notamment chez EY et Timsoft Group, sont pertinentes pour le poste. Cependant, il manque un peu d'expérience dans l'industrie aéronautique, mais cela peut être compensé par sa polyvalence et sa capacité à apprendre rapidement.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:22.739921
5,cv_2,NO MATCH,20,NO MATCH,"Le candidat a une expérience en développement logiciel, mais pas en analyse de données. Il a des compétences en Python, mais pas en SQL. Il a également des compétences en visualisation de données avec Looker, mais pas avec Power BI, Qlik Sense ou Looker. Il n'a pas non plus les compétences requises en gestion de projet et de collaboration.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:23.736034
5,cv_3,MATCH,80,MATCH,"Le candidat a une expérience en développement logiciel avec Java et Spring, ce qui est pertinent pour les besoins de l'offre d'emploi. Il a également travaillé avec des outils de visualisation de données tels que Angular, ce qui est un atout. Cependant, il manque d'expérience directe dans l'analyse et la visualisation de données, ainsi que dans la gestion de pipelines de données. Il a également besoin de développer ses compétences en SQL et Python. Enfin, il a une bonne capacité à travailler en équipe et à communiquer, ce qui est important pour ce poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:25.178861
5,cv_4,MATCH,70,MATCH,"Le candidat a une expérience en développement de logiciels, mais pas directement en analyse de données. Il a cependant des compétences en programmation Python et SQL, qui sont utiles pour l'analyse de données. De plus, il a une expérience en architecture de systèmes et en gestion de pipelines de données, ce qui est pertinent pour le poste. Cependant, il manque d'expérience en visualisation de données et en outils tels que Power BI, Qlik Sense, Looker.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:26.614318
5,cv_5,MATCH,80,MATCH,"Le candidat a une expérience en machine learning et en deep learning, ce qui est proche de l'analyse de données et de la visualisation de données requises par l'offre d'emploi. Cependant, il manque d'expérience directe dans l'analyse de données et la visualisation de données, ainsi que dans la gestion de pipelines de données. Le candidat a également une bonne maîtrise des outils de programmation Python et SQL, ce qui est requis par l'offre d'emploi. Enfin, le candidat a une forte capacité à traduire les besoins métiers en solutions concrètes, ce qui est une compétence requise par l'offre d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:28.551510
6,cv_1,MATCH,85,MATCH,"Le candidat possède une expérience pertinente en tant que Data Analyst, avec des compétences techniques en Python, SQL, Power BI et Azure Data Factory. Il a également une expérience en data visualisation, modélisation et automatisation des flux de données. Les objectifs de l'entreprise (analyse et modélisation de données pour optimiser les décisions stratégiques) correspondent aux compétences et à l'expérience du candidat. Cependant, il manque d'expérience en tant que Data Scientist, ce qui est un poste spécifique qui nécessite des compétences plus avancées en machine learning et en data science.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:30.270805
6,cv_2,NO MATCH,20,NO MATCH,"Le candidat a une expérience significative en développement logiciel, mais pas en data science. Il a travaillé avec des technologies telles que Ruby on Rails, Python, et Machine Learning, mais pas dans le contexte d'une équipe de data science. De plus, son CV ne montre pas de compétences en analyse de données, en visualisation de données, ou en modélisation de données, qui sont des compétences clés pour un Data Scientist.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:31.423948
6,cv_3,MATCH,85,MATCH,"Le candidat possède une formation en Data Science et des compétences techniques en Data Visualisation, Machine Learning, Data Manipulation et Web Scraping, ce qui correspond aux exigences de l'offre d'emploi. Il a également une expérience en tant que Senior Data Scientist et Machine Learning Engineer, ce qui correspond à la description du poste. Les compétences techniques mentionnées dans le CV, telles que Python, SQL, Git et GitHub, sont également requises pour le poste. Les soft skills mentionnés dans le CV, tels que la capacité de travailler en équipe, la capacité de présenter des résultats de manière claire et la veille technologique, sont également requises pour le poste. Cependant, il est important de noter que le candidat a une expérience plus large que celle requise pour le poste, mais cela ne devrait pas être un problème pour un candidat motivé et flexible.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:33.609147
6,cv_4,NO MATCH,20,NO MATCH,"Le candidat possède des compétences en DevOps et Kubernetes, mais pas en Data Science. Il a également des certifications en DevSecOps et MLOps, mais pas en Data Science. Il manque donc aux critères de la mission, notamment la formation en Data Science et les compétences techniques en Data Visualisation, Machine Learning, Data Manipulation et Web Scraping.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:35.781451
6,cv_5,MATCH,85,MATCH,"Le candidat possède une formation en Data Science et des compétences techniques en Machine Learning, Data Manipulation et Web Scraping. Il a également une expérience en tant que Machine Learning Engineer, ce qui correspond aux responsabilités du poste. Cependant, il n'a pas d'expérience directe en Data Visualisation, mais il a travaillé sur des projets impliquant l'analyse de données. De plus, il a une bonne connaissance de Python, qui est l'outil principal utilisé dans l'entreprise. Les soft skills requises, tels que la capacité de travailler en équipe et la capacité de présenter des résultats de manière claire, sont également présentes dans le CV.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:37.876366
7,cv_1,MATCH,80,MATCH,"Le candidat possède une formation en informatique et une expérience en tant que Data Scientist, ce qui correspond aux exigences de l'offre d'emploi. Il a également des compétences en Python, R et en machine learning, qui sont requises pour le poste. Cependant, il manque d'expérience dans le domaine de l'énergie et de la modélisation bayésienne, qui sont des aspects importants de l'offre d'emploi. De plus, il n'a pas mentionné d'expérience avec les outils de versionning Git et les bases de données SQL, qui sont également requis.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:39.808221
7,cv_2,MATCH,70,MATCH,"Le candidat a une formation en marketing et en business analytics, ce qui est pertinent pour le poste de Data Scientist. Il a également des compétences en Python, R et SQL, qui sont requises pour le poste. Cependant, il manque d'expérience en machine learning et en modélisation bayésienne, qui sont des compétences clés pour le poste. De plus, il n'a pas de certificat ou de diplôme en statistiques ou en informatique, ce qui est un inconvénient.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:40.906243
7,cv_3,MATCH,80,MATCH,"Le candidat a une formation en business analytics et a acquis des compétences en machine learning, data engineering et Scrum. Il a également des expériences dans des postes liés à la data science et à l'analyse de données. Cependant, il manque d'expérience dans le domaine spécifique de l'industrie de l'énergie et de la modélisation bayésienne, qui sont des compétences requises pour le poste. De plus, il n'a pas de maîtrise de R, qui est une des langages de programmation requis pour le poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:42.376766
7,cv_4,NO MATCH,20,NO MATCH,"Le candidat a une expérience en ingénierie réseau et en systèmes d'information, mais pas en data science ou en analyse de données. Les compétences techniques mentionnées dans le CV (Packet Tracer, Wireshark, Aruba ClearPass, etc.) ne correspondent pas aux compétences requises pour le poste de Data Scientist (Python, R, pandas, numpy, scikit-learn, etc.).",meta/llama-3.1-8b-instruct,2026-05-05T11:53:43.351259
7,cv_5,NO MATCH,20,NO MATCH,"Le candidat a une expérience en développement web avec des technologies telles que PHP, ReactJS, NextJS, etc. mais il n'a pas d'expérience en machine learning, en modélisation bayésienne ou en prévision de série temporelle, qui sont les compétences requises pour le poste de Data Scientist. De plus, le candidat a une formation en ingénierie informatique mais pas en statistiques ou en mathématiques avancées, qui sont nécessaires pour un poste de Data Scientist.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:44.762513
8,cv_1,MATCH,85,MATCH,"Le candidat Dhia Chebbi possède les compétences et l'expérience requises pour le poste de Data Scientist et Ingénieur en Analytics. Il a une bonne compréhension des principes de machine learning, de deep learning et de gestion de données, et il est familiarisé avec les outils tels que Python, R, SQL, TensorFlow, PyTorch, scikit-learn, etc. Il a également une expérience avec les plateformes cloud telles que GCP, AWS et Azure. Le candidat a une excellente capacité de communication et de travail en équipe, et il est capable de gérer plusieurs projets simultanément. Cependant, il faudrait vérifier les détails de l'expérience du candidat pour s'assurer qu'il correspond bien aux exigences de l'offre d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:46.462207
8,cv_2,MATCH,85,MATCH,"Le candidat Mustafa Çiçek possède une expérience significative en développement de logiciels, en architecture et en gestion de données. Il a travaillé avec divers langages de programmation, frameworks et technologies, notamment Python, R, SQL, TensorFlow, PyTorch, scikit-learn, et a une bonne compréhension des principes de MLOps, de Git et de la gestion de versions. Il a également une expérience en leadership et en mentorat, ce qui est important pour le poste de Data Scientist et Ingénieur en Analytics. Cependant, il n'a pas explicitement mentionné son expérience en science des données et en intelligence artificielle, mais il a travaillé sur des projets qui impliquent l'utilisation de ces technologies. Par conséquent, il y a un bon match entre le CV et l'offre d'emploi, mais il faudrait discuter plus en détail avec le candidat pour confirmer son niveau d'expérience et de compétences en science des données et en intelligence artificielle.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:49.170598
8,cv_3,MATCH,85,MATCH,"Le candidat Mustafa Çiçek possède une expérience significative en développement logiciel, en architecture et en gestion de données. Il a travaillé sur des projets variés, notamment en tant que lead de développement, consultant en logiciel et ingénieur en données. Ses compétences incluent la programmation en C#, Java, JavaScript, ainsi que des frameworks tels que .NET, Spring Boot, Node.js. Il a également une expérience en architecture de données, en gestion de projet et en leadership. Les compétences mentionnées dans l'offre d'emploi, telles que la science des données, l'intelligence artificielle et la gestion de données, sont également présentes dans le CV de Mustafa Çiçek. Cependant, il est important de noter que le candidat n'a pas d'expérience directe en science des données ou en intelligence artificielle, mais il a une expérience en développement logiciel et en architecture qui pourrait être transférable.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:51.787095
8,cv_4,NO MATCH,20,NO MATCH,"Le candidat a des compétences en design, en développement et en technologie, mais pas en science des données et en intelligence artificielle, qui sont les principaux domaines requis pour l'offre d'emploi. Bien que le candidat ait une expérience en développement de modèles prédictifs et en gestion de données, il s'agit principalement de projets liés à l'immersive design et à la technologie, et non à la science des données et à l'intelligence artificielle. De plus, le candidat n'a pas d'expérience en langages de programmation tels que Python, R, SQL, TensorFlow, PyTorch, et scikit-learn, qui sont requis pour l'offre d'emploi.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:55.663883
8,cv_5,NO MATCH,20,NO MATCH,"Le candidat a une expérience en développement full-stack avec des compétences en React.js, D3.js et Elasticsearch, mais il n'a pas d'expérience en science des données, en intelligence artificielle ou en gestion de données. Il n'a pas non plus les compétences requises en Python, R, SQL, TensorFlow, PyTorch, scikit-learn, etc. Il est donc peu probable qu'il soit adapté à ce poste.",meta/llama-3.1-8b-instruct,2026-05-05T11:53:58.984910
9,cv_1,MATCH,85,MATCH,"Le candidat Anas Attia possède les compétences requises pour le rôle de stagiaire Data Science, notamment en programmation (Python, R, SAS), en modélisation statistique et en data visualisation. Il a également une expérience en data analysis et en data science, ce qui le rend adapté à ce poste. De plus, il est motivé et curieux, ce qui correspond aux attentes de l'entreprise. Cependant, il est important de noter que le candidat a plus d'expérience que ce qui est requis pour le rôle, ce qui pourrait être un avantage ou un inconvénient en fonction de la stratégie de l'entreprise.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:03.165529
9,cv_2,MATCH,85,MATCH,"Le candidat a des compétences solides en Machine Learning, Deep Learning et NLP, qui sont pertinents pour le rôle de stagiaire Data Science. Il a également une expérience en développement de modèles statistiques et en data visualisation. Cependant, il n'a pas d'expérience directe dans le secteur bancaire, mais il est motivé et curieux, ce qui est un atout. La seule chose qui manque est une expérience avec les outils de data visualisation tels que RShiny et Tableau, mais il a une bonne compréhension des concepts de machine learning et d'économétrie.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:06.385068
9,cv_3,MATCH,70,MATCH,"La candidate a des compétences en développement web full stack, mais pas directement en data science. Cependant, elle a une expérience en développement d'applications et en gestion de données, qui pourrait être transférable à un rôle de data science. Elle a également des compétences en langages de programmation tels que Java, PHP et Python, qui sont utilisés dans l'offre d'emploi. Cependant, elle n'a pas d'expérience directe en data science, en machine learning ou en économétrie, qui sont des compétences clés pour ce rôle.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:08.960015
9,cv_4,NO MATCH,20,NO MATCH,"Le candidat a une expérience de développement en Java et C#, mais pas en Data Science. Il a des compétences en programmation, mais pas en statistiques ou en économétrie. Il a également des expériences en full-stack développement, mais pas en analyse de données ou en modélisation prédictive.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:11.584867
9,cv_5,NO MATCH,20,NO MATCH,"Le candidat a une expérience significative en réseau et en sécurité, mais pas en data science. Il a des compétences en Python, mais pas en R ou SAS, qui sont mentionnées dans l'offre d'emploi. De plus, son expérience est principalement axée sur la sécurité et la gestion de réseaux, ce qui n'est pas directement lié à l'analyse de données et au développement de modèles prédictifs.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:17.376070
10,cv_1,MATCH,85,MATCH,"Le candidat Anas Attia possède une expérience significative en analyse de données et en traitement de données, avec des compétences fortes en Python, Power BI, SQL, Azure Data Factory, etc. Ses expériences professionnelles, notamment chez EY et Timsoft Group, correspondent aux responsabilités mentionnées dans l'offre d'emploi. Cependant, il n'a pas d'expérience directe en économétrie et statistique appliquée, mais il a une formation solide en informatique et en gestion de données. Ses compétences en machine learning et en statistiques sont également mentionnées, mais il faudrait vérifier la profondeur de ces connaissances pour confirmer la correspondance avec l'offre.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:19.542516
10,cv_2,MATCH,80,MATCH,"Le candidat possède une solide formation en informatique et a une expérience dans le traitement et l'analyse de données. Il a également des compétences techniques requises telles que Python, R et SAS, ainsi que des connaissances en machine learning et en statistiques. Cependant, il manque d'expérience dans le domaine de l'économétrie et de la statistique appliquée, qui sont des compétences essentielles pour ce poste. De plus, le candidat est encore étudiant et n'a pas d'expérience professionnelle significative.",meta/llama-3.1-8b-instruct,2026-05-05T11:54:21.102347
